summary,censor_reason,link,type,year,challenger,book_theme,school_district,notes,state,impacted_high_school,impacted_public_library,impacted_elementary_school,impacted_middle_school,impacted_K-12,impacted_P-8
Book Challenge: I Know Why the Caged Bird Sings challenged for Sex and Violence,LGBTQ,N/A,Book Challenge,2020,Parent(s),Race,South Tippah School Dist,"A school district banned I Know Why the Caged Bird Sings for all students, one day before the start of a unit featuring the book. The book is on the text exemplar list for the state of Mississippi and the district has approved lesson plans on it for 7 years for tenth grade English. One parent had complained tabout the molestation scene in chapter 12.",MS,1,0,0,0,0,0
Clothing/Appearance: Student censored for Sex,"Sex, Violence",N/A,Clothing/Appearance,2020,Staff/Admin/Board,N/A,Johnson Cty School Dist No 1,"""Virginity Rocks"" t-shirt barred from middle school. School district claimed that ""the shirt is sexual orientation...Sexual orientation cannot be expressed in school.""",WY,0,0,0,0,0,0
Book Challenge: The Bluest Eye challenged for Sex and Violence,Sex,https://ncac.org/news/california-ban-toni-morrison,Book Challenge,2020,Parent(s),Race,Colton Joint Union School Dist,The Bluest Eye was removed from an English Language Arts reading list. It had been assigned to AP English. We learned of this after the fact.,CA,1,0,0,0,0,0
Internet/Social Media: Student punished for Political and Social Views and Intolerance,"Intolerance, Political/Social Views",https://www.pe.com/2020/02/10/students-at-riversides-king-high-posed-in-photo-with-swastika-confederate-flag/,Internet/Social Media,2020,Staff/Admin/Board,N/A,Riverside USD,"A student was suspended for posting a ""Trump 2020"" photo with a Confederate flag and swastika on social media.",CA,1,0,0,0,0,0
Event/Other Expression: Student punished for Intolerance,Intolerance,N/A,Event/Other Expression,2020,Staff/Admin/Board,N/A,School District 49,"Student suspended for ""homosexuality is a mental disability"" sign presented to LGBTQ kids. The student wants to stage protest outside school with people wearing shirts with that slogan.",CO,0,0,0,0,0,0
Clothing/Appearance: Student censored for Political/Social Views,Political/Social Views,https://abcnews.go.com/US/wisconsin-schools-ban-shirts-depicting-guns-prompts-federal/story?id=3D69175774,Clothing/Appearance,2020,Staff/Admin/Board,N/A,Kettle Moraine School District,The parents of two high school students sued the school after their sons were told by school administration that they could not wear clothing bearing images of guns as it's a violation of the dress code.,WI,1,0,0,0,0,0
Clothing/Appearance: Clothing banned for obstensibly endorsing the use of Drugs/Alcohol,Drugs/Alcohol,N/A,Clothing/Appearance,2020,Staff/Admin/Board,N/A,San Rafael City HS Dist,"A high school banned a clothing brand called cookies because of its ties to the marijuana industry. The clothing does not depict any type of drug use and is simply a logo saying ""Cookies,"" which is also a brand name of a chain of marijuana dispensaries.",CA,1,0,0,0,0,0
Event/Other Expression: Student censored for LGBTQ content,LGBTQ,https://ncac.org/news/michigan-teacher-denies-student-request-to-write-about-same-sex-marriage,Event/Other Expression,2020,Staff/Admin/Board,N/A,Montrose Comm Schools,A student was not allowed to write a paper on same sex marriage.,MI,1,0,0,0,0,0
Internet/Social Media Censorship for LGBTQ content,LGBTQ,N/A,Internet/Social Media,2020,Staff/Admin/Board,N/A,Buncombe County Schools,School internet blocked websites related to LGBTQ content under the label of Alternate Lifestyle. Sites such as gaytimes.co.uk and lambda.org were completely blocked.,NC,0,0,0,0,0,0
Event/Other Expression: Student censored for Criticism of School,Criticism of School,N/A,Event/Other Expression,2020,Staff/Admin/Board,N/A,"Central Community School of Elkader, Iowa",Student was blocked from commenting on their school's Facebook page.,IA,0,0,0,0,0,0
Internet/Social Media: School internet blocks sites related to Religion,Religion,N/A,Internet/Social Media,2020,Staff/Admin/Board,N/A,Monroe County Sch Dist,"A public school censored internet access, including the websites of the Vatican, Jewish learning sites, sites about Islam, Red State, Refuse Fascism, and Reason.",FL,1,0,0,0,0,0
Book Challenge: Various challenged for Sex and Profanity,"Sex, Profanity",https://ncac.org/news/alaska-banned-books,Book Challenge,2020,Staff/Admin/Board,Various,Matanuska-Susitna Borough School Dist,"A district removed five ""controversial"" books from 11th grade English reading list",AK,1,0,0,0,0,0
Internet/Social Media: Student punished for Intolerance,Intolerance,https://www.ajc.com/news/local-education/decatur-schools-leader-issues-strong-rebuke-latest-racist-video/FlGAWiRsfKUyuu1njAROQJ/,Internet/Social Media,2020,Staff/Admin/Board,N/A,Decatur Public Schools,A school investigated after a student posted a racist video online.,GA,1,0,0,0,0,0
Internet/Social Media: Student punished for Intolerance,Intolerance,N/A,Internet/Social Media,2020,Staff/Admin/Board,N/A,Redondo Beach USD,A student who used the N-word on social media was threatened with expulsion,CA,1,0,0,0,0,0
Event/Other Expression: Student censored for Political/Social Views,Political/Social Views,https://newschannel9.com/news/local/central-high-schools-2020-valedictorian-believes-speech-was-intentionally-cut-short,Event/Other Expression,2020,Staff/Admin/Board,N/A,Hamilton County Schools,"A valedictorian's speech was cut short just before she said ""no justice, no peace."" The district claims it was inadvertent.",TN,1,0,0,0,0,0
Internet/Social Media: Students punished for  Political/Social Views and Intolerance,"Intolerance, Political/Social Views",https://www.ajc.com/news/high-school-cheerleaders-in-hot-water-after-posing-with-confederate-flag/E4JVA4NYRFGKZJALTPNYZTDRCA/,Internet/Social Media,2020,Staff/Admin/Board,N/A,Baldwin County Public Schools,"After six members of a high school cheer team were seen in a photo on social media posing with an image of the Confederate flag, attempts were made to have the school administration punish the teens.",AL,1,0,0,0,0,0
Event/Other Expression: Student punished for Criticism of School ,Criticism of School,https://www.ajc.com/education/paulding-family-pushes-back-on-school-suspension-over-crowded-hall-photo/2XTUNBDA2NDF7I2RHFLXR2MR4M/,Event/Other Expression,2020,Staff/Admin/Board,N/A,Paulding County School District,"A high school sophomore was suspended for posting a photo she took of the virtually maskless, crowded halls of her high school, during the height of COVID. The suspension was lifted after the photo went viral, leading to criticism and support from free speech groups.",GA,1,0,0,0,0,0
Book Challenge: Something Happened in Our Town: A Child's Story About Racial Injustice challenged for Anti-Police content,Anti-Police,N/A,Book Challenge,2020,Staff/Admin/Board,Race,Roseville City School Dist,Teachers were informed that they are not allowed to read or talk about the book Something Happened in Our Town,CA,0,0,1,0,0,0
Book Challenge: Fun Home challenged for Sex,Sex,https://ncac.org/news/fun-home-nevada,Book Challenge,2020,Parent(s),LGBTQ,Clark County School Dist,"A parents association challenged the use of the book Fun Home by Alison Bechdel, in a 10th grade Honors English class, because of alleged sexual violence, drug use, and anti-religious sentiments. The group has already held a press conference with local law makers stating the teacher is ""flouting"" the law regarding distribution of obscene material to children.",NV,1,0,0,0,0,0
Book Challenge: The Adventures of Huckleberry Finn and others challenged for Intolerance,Intolerance,https://ncac.org/news/california-book-challenge-2020,Book Challenge,2020,Parent(s),Other,Burbank Unified School Dist,"District removed several novels in its curriculum that include racial slurs, including To Kill A Mockingbird, The Adventures of Huckleberry Finn, The Cay, and Roll of Thunder, Hear My Cry.",CA,0,0,0,0,1,0
Clothing/Appearance: Student censored for Sex,Sex,https://www.fox35orlando.com/news/5th-grader-told-to-remove-hooters-face-mask-in-class,Clothing/Appearance,2020,Staff/Admin/Board,N/A,Orange County Public Schools,"A fifth-grade student was told during his gym class that he could not wear his Hooter's face mask in class because it was ""deemed offensive"".",FL,0,0,1,0,0,0
Book Challenge: Ghost Boys challenged for Anti-Police content,Anti-Police,https://ncac.org/news/california-school-district-removes-ghost-boys-over-political-viewpoints,Book Challenge,2020,Parent(s),Race,Kingsburg Elementary School Dist,"A challenge ws filed to the use of Ghost Boys in a 5th Grade class, because it is ostensibly anti-police.",CA,0,0,1,0,0,0
Event/Other Expression: Student censored for Political/Social Views,Political/Social Views,https://www.abc10.com/article/news/local/california/teacher-threatens-to-kick-student-out-of-virtual-class-over-trump-2020-flag/103-eaa95ad4-843d-4405-80fc-21bdc66afd66,Event/Other Expression,2020,Staff/Admin/Board,N/A,Colusa Unified School District,"A teacher threatened to remove a 16-year-old student from his virtual class if he didn't remove a flag reading ""Trump 2020"", from his background.",CA,1,0,0,0,0,0
Book Challenge: All American Boys challenged for Sex and Anti-Police content,"Sex, Anti-Police",https://www.marshall.edu/library/bannedbooks/all-american-boys/,Book Challenge,2020,Parent(s),Race,Somerset Cty Public Schools,Parents challenged All American Boys. District policy requires book to be removed pending outcome of formal complaint. We wrote to the district to suggest reforms to their challenge policies,MD,1,0,0,0,0,0
Book Challenge: The Absolutely True Diary of a Part-Time Indian challenged for Sex,Sex,https://www.authorsguild.org/wp-content/uploads/2021/03/Cicero_Letter.pdf,Book Challenge,2020,Parent(s),Other,Cicero Public School Dist 99,"Parent challenged Absolutely True Diary of a Part Time Indian. Teachers were told to stop teaching it. District memo says that the book has been pulled, pending investigation.",IL,0,0,0,1,0,0
Clothing/Appearance: Student was punished for Intolerance,Intolerance,https://www.wnem.com/news/midland-public-schools-investigating-student-using-racially-charged-hand-gesture/article_35334154-fdfe-11ea-9ab2-6f561e59881e.html,Clothing/Appearance,2020,Staff/Admin/Board,N/A,Midland Independent School Dist,"In response to the Superintendent sending out a school community-wide email that the OK hand symbol was racist and not allowed, a student wore a t-shirt with the image of President Obama giving the OK hand sign. The student was suspended.",MI,1,0,0,0,0,0
Clothing/Appearance: Student censored for Religion,Religion,https://www.wlbt.com/2020/11/04/lawsuit-filed-after-school-bans-girls-jesus-loves-me-mask/,Clothing/Appearance,2020,Staff/Admin/Board,N/A,Simpson County School District,"A third-grade student was forced to remove her mask with the saying ""Jesus loves me"" because school policy states that masks cannot display political, religious, sexual or any inappropriate symbols, gestures or statements that may be offensive, disruptive or deemed distractive to the school environment.",MS,0,0,1,0,0,0
Book Challenge: Scholastic News challenged for Political/Social Views,Political/Social Views,N/A,Book Challenge,2020,Parent(s),Other,Rising Sun-Ohio County Schools,A school district cancelled its subscription to Scholastic News Journal after a parent complained that an editorial was biased against President Trump.,IN,0,0,0,0,1,0
"Book Challenge: Stamped: Racism, Antiracism, and You challenged for Political/Social Views",Political/Social Views,https://www.statesman.com/story/news/local/round-rock/2021/02/09/round-rock-school-district-allows-teachers-continue-using-book-stamped-racism-antiracism-and-you-cla/4457960001/,Book Challenge,2020,Parent(s),Race,Round Rock Independent School Dist,Parent challenged Stamped by Jason Reynolds in 8th grade ELA. Committee voted unanimously to keep the book before we could take action.,TX,0,0,0,1,0,0
Book Challenge: History of US challenged for Intolerance,Intolerance,N/A,Book Challenge,2020,Parent(s),Other,Kent School Dist,"The textbook, A History of US, was removed after allegations that it was racist.",WA,0,0,1,0,0,0
Book Challenge: Slaughterhouse Five challenged for Sex and Profanity,"Sex, Profanity",https://ncac.org/news/arizona-school-considers-removing-slaughterhouse-five-from-classrooms,Book Challenge,2020,Parent(s),Other,Vail School Dist,A challenge was filed to the use of Slaugherhouse Five in AP English class,AZ,1,0,0,0,0,0
Book Challenge: Various books challenged for Intolerance,Intolerance,https://www.nytimes.com/2021/10/02/us/york-pennsylvania-school-books.html,Book Challenge,2020,Parent(s),Other,Central York School District,"The entire list of books, documentary films, and articles compiled in August 2020 by the Central York School District's diversity committee was removed that November by the district's school board, pending a review. In the fall of 2021, after a principal reminded teachers not to use the books, students campaigned for the books to be restored. ON September 20, 2021, the school board temporarily reversed their initial decision as the materials on the list undergo a review.",PA,0,0,0,0,1,0
Book Challenge: Various challenged for LGBTQ content,LGBTQ,https://ncac.org/news/louisiana-library-removes-lgbtq-childrens-books-from-shelves,Book Challenge,2020,Parent(s),LGBTQ,Lincoln Parish Library,LGBTQ books were moved from the children's section of public library.,LA,0,1,0,0,0,0
Book Challenge: Of Mice and Men and Montana 1948 challenged for Intolerance,Intolerance,https://www.mprnews.org/story/2020/12/24/minnesota-high-school-bans-steinbeck-watson-novellas,Book Challenge,2020,Other,Other,West St. Paul-Mendota Heights-Eagan Area Schools (SD 197),Of Mice and Men (racist language) and Montana 1948 (depictions of Native Americans) were removed from high school. A district spokeswoman said the book complaints have highlighted a need for the district to develop a policy for reconsidering instructional materials. We sent our challenge procedure guidelines,MN,1,0,0,0,0,0
Clothing/Appearance: Student censored for Political/Social Views and Intolerance,"Intolerance, Political/Social Views",https://www.ksdk.com/article/news/local/oakville-high-school-confederate-flag-mask/63-2e06929f-3497-4d55-9e21-8bf4662b68d2,Clothing/Appearance,2021,Staff/Admin/Board,N/A,Mehlville School District,A high school student was barred from wearing a mask depicting the Confederate flag to school.,MO,1,0,0,0,0,0
Book Challenge: Persepolis challenged for Sex and Violence,"Sex, Violence",https://patch.com/new-york/commack/commack-educator-sues-district-board-ed-80m-reports,Book Challenge,2021,Parent(s),Other,Half Hollow Hills Central School Dist,The graphic novel Persepolis was removed from 9th grade classrooms. A group of parents complained about the book and started a change.org petition against the book.,NY,1,0,0,0,0,0
Art/Display: Student art was removed for Political/Social views,Political/Social Views,https://www.12newsnow.com/article/news/local/black-history/students-speak-out-after-district-removes-fists-on-black-history-month-mural/502-d1d2aa79-0028-4065-9ae5-a3de59dca7c6,Art/Display,2021,Staff/Admin/Board,N/A,Beaumont Independent School District,"School administrators removed the part of a student-created Black History Month mural at a middle school which depicted raised fists - which is both the symbol for Black Lives Matter and the universal symbol for solidarity. The district stated that the removed art was ""perceived as politically controversial"" and ""unrelated to the educational purpose of Black History Month"".",TX,0,0,0,1,0,0
Press/Yearbook: Students censored for LGBTQ content,LGBTQ,https://www.arkansasonline.com/news/2021/feb/11/rogers-yearbook-students-push-for-publication-of/,Press/Yearbook,2021,Staff/Admin/Board,N/A,Rogers Public Schools,"A high school principal told the yearbook that a 2-page spread ""Loud & Proud"", which chronicles LGBTQ+ students' experiences, could not be included in the yearbook, despite the fact that the Arkansas Student Publications Act gives student journalists added protection against administrative censorship.",AR,1,0,0,0,0,0
Event/Other Expression: Student punished for LGBTQ content,LGBTQ,https://www.lgbtqnation.com/2021/07/aclu-steps-two-school-employees-punished-student-saying-im-lesbian/,Event/Other Expression,2021,Staff/Admin/Board,N/A,North Lyon County,"A girl was banned from school bus for saying ""I'm a lesbian"".",KS,0,0,0,1,0,0
Press/Yearbook: Student censored for LGBTQ content,LGBTQ,https://www.lgbtqnation.com/2021/03/court-sides-school-censored-4th-graders-pro-transgender-essay/,Press/Yearbook,2021,Staff/Admin/Board,N/A,Spartanburg Country School District Six,"After an elementary school principal rejected a fourth-grade student's essay on transgender equality from appearing in a school publication, the parents of the child sued the school. The court ruled in favor of the school because given the grounds for the removal, i.e., that it was ""not age appropriate,"" rendered the removal permissible under the Supreme Court's Hazelwood decision, which permits censorship of student speech in school-sponsored publication if the decision is based on legitimate pedagogical concerns.",SC,0,0,1,0,0,0
"Book Challenge: Various books challenged for Sex, Violence and Dark Themes","Sex, Violence, Dark Themes",https://ncac.org/news/leander-texas-lgbtq-books-removed,Book Challenge,2021,Parent(s),N/A,Leander Independent School Dist l,"A school district reviewed a list of 120 books on a diverse titles list used for independent reading by students. Several books were ultimately removed after a lengthy review by committees of stakeholders, but the vast majority were retained.",TX,1,0,0,0,0,0
Book Challenge: Call Me Max challenged for LGBTQ content,LGBTQ,https://ncac.org/news/eanes-texas-call-me-max-trans-ban,Book Challenge,2021,Parent(s),LGBTQ,Eanes Independent School Dist,"A teacher distributed a list of reading resources, one of which was re a transgender child. After protests, the district told the teacher not to use the book, Call Me Max.",TX,0,0,1,0,0,0
Book Challenge: The Poet X challenged for Sex,Sex,https://www.dailywire.com/news/ohio-public-school-encourages-ninth-graders-to-read-graphic-sex-poetry,Book Challenge,2021,Parent(s),LGBTQ,Hilliard City Schools,"A challenge was filed to The Poet X for classroom use. We sent challenge procedure guidelines, because the district's policies are inadequate",OH,1,0,0,0,0,0
Event/Other Expression: Student punished for Criticism of School ,Criticism of School,N/A,Event/Other Expression,2021,Staff/Admin/Board,N/A,Valley SD No 262,A student was disciplined for circulating a survey re COVID rules at school.,ID,0,0,0,1,0,0
Event/Other Expression: Students censored for Protest,Protest,https://ncac.org/news/student-protest-ban-nebraska,Event/Other Expression,2021,Staff/Admin/Board,N/A,South Sioux City Community Schools,South Sioux City Community Schools banned all student protest.,NE,0,0,0,0,1,0
Book Challenge: Ghost Boys challenged for Anti-Police content,Anti-Police,https://ncac.org/news/ghost-boys-florida-remove,Book Challenge,2021,Parent(s),Race,Broward County Public Schools,Ghost Boys was removed from classroom use because it is ostensibly anti-police.,FL,0,0,1,0,0,0
Clothing/Appearance: Students punished for Political/Social Views,Political/Social Views,https://ncac.org/news/oklahoma-black-lives-matter,Clothing/Appearance,2021,Staff/Admin/Board,N/A,Ardmore City Schools,"Two elementary school students, aged 8 and 5, were removed from their classrooms for wearing T-shirts which read ""Black Lives Matter"". The district claimed that the shirts created the risk of ""a disturbance in the school.""",OK,0,0,1,0,0,0
Internet/Social Media: Student punished for Intolerance,Intolerance,https://www.nbcconnecticut.com/news/local/fairfield-teen-arrested-after-being-accused-of-racist-social-media-post-police/2487617/,Internet/Social Media,2021,Staff/Admin/Board,N/A,Fairfield Public Schools,A Fairfield Warde High School student was arrested after posting a picture on social media which contained a racial slur aimed at a black classmate who was also in the photo.,CT,1,0,0,0,0,0
Event/Other Expression: Students punished for Intolerance,Intolerance,https://reason.com/volokh/2021/05/27/censor-of-anti-china-speech-among-us/,Event/Other Expression,2021,Staff/Admin/Board,N/A,Glenbrook High School District 225,"A high school chapter of Turning Point USA was disbanded after it displayed a poster saying, ""China kinda sus [i.e., suspect or questionable],"" had been approved by school administration. This led to accusations of racism from students and local politicians.",IL,1,0,0,0,0,0
Book Challenge: One Of A Kind Like Me/nico Como Yo challenged for LGBTQ content,LGBTQ,https://ncac.org/news/north-carolina-ban-book-gender-identity,Book Challenge,2021,Parent(s),LGBTQ,Columbus County Schools,"After local university students performed the book One of a Kind, Like Me for elementary school students via video, some parents complained to district officials. In response, the district superintendent apologized for not ensuring that the book was vetted before being performed, and a school board member was quoted as saying that the district does not consider matters of =E2=80=9Cgender identity politics=E2=80=9D to be appropriate for the district's elementary school classrooms. The book tells the story of a boy who decides to dress as a princess for a school costume parade.",NC,0,0,1,0,0,0
Event/Other Expression: Student censored for LGBTQ content,LGBTQ,https://www.idahopress/Yearbook.com/townnews/school/kuna-parents-upset-at-how-school-district-handled-incident-involving-pride-flag/article_7d534328-a1ed-5450-ae3d-e175d281b4ba.html,Event/Other Expression,2021,Staff/Admin/Board,N/A,Kuna School District,A teacher took away a middle school student's Pride flag during a class picture.,ID,0,0,0,1,0,0
Clothing/Appearance: Student punished for Political/Social Views,Political/Social Views,https://www.nytimes.com/2021/06/06/us/asheboro-high-school-mexican-flag.html?auth=3Dlogin-google1tap&login=3Dgoogle1tap,Clothing/Appearance,2021,Staff/Admin/Board,N/A,Asheboro City Schools,A student's receipt of his diploma was delayed after he wore a Mexican flag over his graduation gown at his school's graduation ceremony. in violation of the ceremony's dress code.,NC,1,0,0,0,0,0
Event/Other Expression: Intolerance. A private school teacher was criticized for not disciplining students for using rap song with N-word,Intolerance,N/A,Event/Other Expression,2021,Parent(s),N/A,The Brentwood School,A teacher was criticized for not disciplining students for using rap song with N-word in CA private school.,CA,0,0,0,0,1,0
Event/Other Expression: Student censored for LGBTQ content,LGBTQ,https://www.nj.com/opinion/2021/06/nj-principal-flouted-community-standards-in-censoring-gay-grad-editorial.html,Event/Other Expression,2021,Staff/Admin/Board,N/A,Eastern Camden County Regional School District,"A high school valedictorian had his commencement speech cut off after he told the audience he came out as queer during freshman year. The student gave the speech in lieu of the speech that had been approved by the school administration, which did not mention sexual orientation.",NJ,1,0,0,0,0,0
Book Challenge: Persepolis and others challenged for Sex,Sex,N/A,Book Challenge,2021,Parent(s),Other,Wicomico County Public Schools,Monday's Not Coming By Tiffany D. Jackson. Persepolis,MD,0,1,0,0,0,0
Press/Yearbook: Students censored for Political/Social Views,Political/Social Views,https://splc.org/2021/08/censorship-alert-arkansas-high-school-cuts-pages-from-yearbook/,Press/Yearbook,2021,Staff/Admin/Board,N/A,East End School District,"School officials removed a two-page spread in the yearbook following publication. The spread outlined important world events that took place during the 2020-2021 academic year, including the 2020 election, the impact of COVID-19, the death of George Floyd, and more. The reason cited for the removal of the already-published content was that school officials were at the receiving end of =E2=80=9Ccommunity backlash=E2=80=9D over the yearbook spread.",AR,1,0,0,0,0,0
Art/Display: Student mural was removed for Political/Social views,Political/Social Views,https://ncac.org/news/brooklyn-student-mural,Art/Display,2021,Staff/Admin/Board,N/A,New York City Dept of Education,A student mural was removed from a Brooklyn elementary school after complaint that is was divisive because of elements related to Black Lives Matter,NY,1,0,0,0,0,0
Book Challenge: Lawn Boy challenged for Sex,Sex,https://bookriot.com/lawn-boy-challenge/https://cbsaustin.com/news/local/leander-police-investigating-parent-complaints-about-library-book,Book Challenge,2021,Parent(s),LGBTQ,Leander Independent School Dist l,"A challenge was filed to Lawn Boy (available in school library) because it ostensibly depicts sex between children. A parent also filed a police report, alleging that the book is child pornography or obscenity",TX,1,0,0,0,0,0
Book Challenge: 642 Things to Write About challenged for Sex and Violence,"Sex, Violence",https://ncac.org/news/lawn-boy-hudson-ohio-school-library,Book Challenge,2021,Lawmaker(s),Other,Hudson City Schools,"Book of writing prompts in a college course taught at local high school to HS students was removed due to ""inappropriate"" topics being included therein.",OH,1,0,0,0,0,0
Book Challenge: Out of Darkness challenged for Sex,Sex,https://ncac.org/news/lake-travis-texas-library-book-ban,Book Challenge,2021,Parent(s),Other,Lake Travis ISD,"Out of Darkness, by Ashley Hope P=C3=A9rez, was removed from the libraries of two middle schools after a complaint, despite district policy requiring that challenged materials remain available while challenge is pending.",TX,0,0,0,1,0,0
Book Challenge: Gender Queer and Lawn Boy challenged for Sex,Sex,https://ncac.org/news/fairfax-virginia-lawn-boy-gender-queer-library,Book Challenge,2021,Parent(s),LGBTQ,Fairfax County Public Schools,"Gender Queer, by Maia Kobabe, and Lawn Boy=E2=80=9D, by Jonathan Evison, were pulled from circulation pending adjudication of a challenge. District policy allows up to 120 work days to conclude all levels of adjudication.",VA,1,0,0,0,0,0
Book Challenge: It's Perfectly Normal challenged for Sex,Sex,https://ncac.org/news/its-perfectly-normal-cass-county-missouri-library,Book Challenge,2021,Other,Other,Cass County Public Library,Parents protested at Cass County Public Library Board of Trustees meeting regarding presence of Its Perfectly Normal by Robie Harris.,MO,0,1,0,0,0,0
Art/Display: Mural removed from high school library for Political/Social Views,Political/Social Views,https://www.press/Yearbookherald.com/2021/10/04/removal-of-york-high-school-students-anti-racism-art-triggers-walkout/,Art/Display,2021,Parent(s),N/A,York School Dept,"High school students staged a schoolwide walkout to protest the removal of Claudia Corcoran's artwork from the library. The two-panel anti-racism painting was removed after the school received complaints from students, parents, and faculty.",ME,1,0,0,0,0,0
Book Challenge: New Kid and its sequel Class Act challenged for Political/Social Views and Intolerance,"Intolerance, Political/Social Views",https://ncac.org/news/katy-texas-jerry-craft-library,Book Challenge,2021,Parent(s),Other,Katy ISD,School district removed library books by Jerry Kraft pending adjudication of parent complaint they are pro-CRT.,TX,0,0,1,0,0,0
Book Challenge: Our Skin: A First Conversation About Race challenged for Political/Social Views,Political/Social Views,https://www.tapinto.net/towns/westfield/sections/education/articles/westfield-school-board-oks-decision-for-children-s-book-about-race-racism,Book Challenge,2021,Parent(s),Race,Westfield Public Schools,"The Westfield Board of Education accepted the recommendation of an internal committee tasked with deciding on a parent's formal complaint about the use of the book, =E2=80=9COur Skin",NJ,0,0,1,0,0,0
Book Challenge: The Breakaways challenged for LGBTQ,LGBTQ,http://www.multiversitycomics.com/news/breakaways-ban/,Book Challenge,2021,Parent(s),LGBTQ,Spring Branch ISD,The Breakaways was removed from elementary school libraries after a district committee upheld a challenge.,TX,0,0,1,0,0,0
"Book Challenge: Various books challenged for Sex, and Political/Social Views","Sex, LGBTQ",https://ncac.org/news/virginia-beach-toni-morrison-lawn-boy-banned,Book Challenge,2021,Staff/Admin/Board,LGBTQ,Virginia Beach City School District,"School district removed library books pending adjudication of a Board member complaint. The books included A Lesson Before Dying by Ernest Gaines, The Bluest Eye by Toni Morrison, and Lawn Boy by Jonathan Evison.",VA,0,1,0,0,0,0
Book Challenge: Aristotle and Dante Discover the Secrets of the Universe challenged for Profanity and Drug/Alcohol use,"Profanity, Violence",N/A,Book Challenge,2021,Parent(s),Other,Bayfield School District,"Aristotle and Dante Discover the Secrets of the Universe was removed from a classroom library. Its use falls under school's controversial issues policy, which requires controversial materials which have not been officially adopted to be approved by the principal.",CO,0,0,0,1,0,0
Book Challenge: The Poet X challenged for Sex,Sex,http://nkccnews.com/local-news/2021/10/12/inappropriate-book-pulled-from-new-kent-middle-school-library-circulation/?utm_source=3Dpocket_mylist,Book Challenge,2021,Parent(s),LGBTQ,New Kent County Public Schools,"The superintendent pulled The Poet X from the New Kent Middle School library after a parent complained that it contained inappropriate content. The district's challenge polices are very minimal, so we contacted the district to suggest improvements",VA,0,0,0,1,0,0
