summary,censor_reason,link,type,year,challenger,book_theme,school_district,notes,state,impacted_high_school,impacted_public_library,impacted_elementary_school,impacted_middle_school,impacted_K-12,impacted_P-8
Book Challenge: Fun Home challenged for Sex,Sex,https://ncac.org/news/new-jersey-school-district-omits-librarians-from-review-of-several-lgbtq-library-books,Book Challenge,2021,Parent(s),LGBTQ,North Hunterdon-Voorhees Regional High School District,"A challenge committee reviewed Alison Bechdel's Fun Home, Jonathan Evison's Lawn Boy, Gender Queer by Maia Kobabe, and This Book is Gay by Juno Dawson. The review committee began meeting, despite the fact that no librarian has been appointed to the committee, in contravention of Board regulations.",NJ,1,0,0,0,0,0
Book Challenge: Ghost Boys challenged for Anti-Police content,Anti-Police,https://www.tapinto.net/towns/sparta/sections/education/articles/sparta-board-of-education-books-controversy-5d83e4c2-0786-4f67-96f2-c02d599a70ab,Book Challenge,2021,Parent(s),Race,Sparta Township Public Schools,"Ghost Boys was paused as a recommended reading based on the complaints of a few parents, until the district develops a policy regarding adopting supplementary materials. We sent advice and challenge guidelines.",NJ,0,0,0,0,1,0
Book Challenge: Gender Queer challenged for Sex,Sex,https://www.kitsapsun.com/story/news/2021/11/04/ck-school-board-considers-policy-review-after-graphic-novel-removal/6282767001/,Book Challenge,2021,Parent(s),LGBTQ,Central Kitsap School District 401,Gender Queer was removed from high school libraries after a review committee recommended removal.,WA,1,0,0,0,0,0
Book Challenge: Gender Queer challenged for Sex,Sex,https://www.abc6.com/mother-calls-for-action-over-controversial-lgbtq-book/?fbclid=3DIwAR2xzWCld2-wrXD8beN2eihGDQW4nq0qjDU7e6SxWVnYz8bUpZuLk1li1N0,Book Challenge,2021,Parent(s),LGBTQ,North Kingston School Department,"One parent challenged Gender Queer at a board meeting, and another parent filed a police report in connection to the book, alleging it was pornography in school.",RI,1,0,0,0,0,0
Book Challenge: Various books challenged for Sex,Sex,https://www.tapinto.net/towns/wayne/sections/education/articles/controversial-books-at-the-center-of-chaos-at-wayne-school-board-meeting,Book Challenge,2021,Parent(s),LGBTQ,Wayne Township Public Schools,Gender Queer and All American Boys have been challenged. The Supt informed us that the District is following policy.,NJ,1,0,0,0,0,0
Book Challenge: Various books challenged for Sex and Dark Themes,"Sex, Dark Themes",https://callnewspapers.com/several-books-in-lindbergh-high-school-library-under-fire-by-parents/?utm_source=3Dpocket_mylist,Book Challenge,2021,Parent(s),Various,Lindbergh Schools,"The Lindbergh Board of Education received an official challenge of 15 books carried in the Lindbergh High School library. The books were mostly chosen for mentions of sex and suicide. The challenge was the focus of most public comment at the board's Oct. 21 meeting, with some citizens in support and opposition of a possible ban.",MO,1,0,0,0,0,0
Book Challenge: Milk and Honey challenged for Sex,Sex,https://www.oregonlive.com/opinion/2021/10/opinion-a-social-media-uproar-a-book-challenge-in-roseburg.html,Book Challenge,2021,Parent(s),N/A,Roseburg Public Schools,"Roseburg High School currently faces a challenge to a  book of poetry. =E2=80=9CMilk and Honey=E2=80=9D is by Rupi Kaur, an Indian-Canadian author and social media activist. The book deals with surviving sexual assault as well as empowerment, consent and female sexuality. No student is required to read the book, but for now they can choose to check it out from the library.",OR,1,0,0,0,0,0
Book Challenge: The Absolutely True Story of a Part-time Indian challenged for Sex,Sex,https://wisconsinexaminer.com/2021/11/02/mequon-thiensville-school-board-recall-fails/,Book Challenge,2021,Parent(s),Other,Mequon-Thiensville School District,"A challenge was filed to the use of The Absolutely True Story of a Part-time Indian in a 9th grade English class. Four members of the school board in the district were facing a recall election at thte time. The recall effort has consistently used excerpts from the book in social media, campaign text messages and paid ads to ""illustrate"" that the district under the current board doing a disservice to students by teaching this book.",WI,1,0,0,0,0,0
Book Challenge: Various books challenged for Sex,Sex,https://www.axios.com/local/des-moines/2021/10/27/waukee-school-district-lgbtq-books-removed,Book Challenge,2021,Parent(s),LGBTQ,Waukee Community School Dist,"Three LGBTQ books (All Boys Aren't Blue, Lawn Boy, and Gender Queer) were removed from a high school library lafter a challenge was filed, despite a district policy which says that ""Instructional materials shall not be removed or withdrawn from use during the pendency of the review process except upon three-fourths vote of the entire membership of the review committee and approval of the building principal, who shall state compelling reasons in writing for such action.""",IA,1,0,0,0,0,0
Book Challenge: Fun Home challenged for Sex,Sex,https://www.clickondetroit.com/news/local/2021/10/27/committee-to-review-graphic-novel-in-troy-athens-high-school-library-after-parent-complains/,Book Challenge,2021,Parent(s),LGBTQ,Troy School District,The graphic memoir Fun Home,MI,1,0,0,0,0,0
Book Challenge: Gender Queer challenged for Sex,Sex,https://ncac.org/news/wissahickon-gender-queer-censored,Book Challenge,2021,Parent(s),LGBTQ,Wissahickon School District,Gender Queer was removed from a district library without following the district's challenge procedure.,PA,1,0,0,0,0,0
Book Challenge: Various books challenged for Political/Social Views,Political/Social Views,https://www.alaskapublic.org/2021/10/28/kenai-peninsula-teachers-allege-censorship-of-books-with-lgbtq-themes/,Book Challenge,2021,Staff/Admin/Board,Race,Kenai Peninsula Borough School District,"After a warehouse worker saw a book she thought was regarding Critical Race Theory, and since the Supt had said there is no CRT in the district, the worker reported it up the chain of command. An Assistant Supt ordered the books removed from libraries, despite no challenge being filed and challenge procedures saying they must stay on the shelves. Eventually, a librarian protested, and the books were returned.",AK,1,0,0,0,0,0
Book Challenge: Fun Home and All Boys Aren't Blue challenged for Sex,Sex,https://ncac.org/news/books-censored-kansas-city-school-libraries,Book Challenge,2021,Parent(s),LGBTQ,North Kansas City Schools,"Fun Home by Alison Bechdel and All Boys Aren't Blue by George M. Johnson were removed pending review, in contravention of district regulations.",MO,1,0,0,0,0,0
Book Challenge: Various challenged for Sex and Violence,"Sex, Violence",https://ncac.org/news/canyons-utah-censor-school-library-books,Book Challenge,2021,Parent(s),Various,Canyons School Dist,"A district removed Beyond Magenta, Monday's Not Coming, Out of Darkness, The Bluest Eye,  and Opposite of Innocent pending review, despite board policy requiring books to be retained pending the outcome of challenges.",UT,1,0,0,0,0,0
Event/Other Expression: Student play (She Kills Monsters) canceled for Intolerance and Violence,"Intolerance, Violence",N/A,Event/Other Expression,2021,Staff/Admin/Board,N/A,Hillsboro City Schools,"A production of Qui Nguyen's play, She Kills Monsters, was cancelled due to the play's use of =E2=80=9Cinappropriate language, profanity, homophobic slurs, sexual innuendos and graphic violence.=E2=80=9D However, the script being used was the =E2=80=9CYoung Adventurers Version,=E2=80=9D which is a gentler version prepared by the author for children above age 11.",OH,0,0,0,0,0,0
Book Challenge: Gender Queer challenged for Sex,Sex,https://ncac.org/news/orlando-florida-school-district-ignores-procedures-in-removing-gender-queer-from-libraries,Book Challenge,2021,Parent(s),LGBTQ,Orange County Public Schools,Gender Queer was removed from a library without following District's challenge procedure.,FL,1,0,0,0,0,0
Book Challenge: Gender Queer challenged for Sex,Sex,https://ncac.org/news/floridas-brevard-county-public-schools-remove-gender-queer-from-library-shelves-without-review,Book Challenge,2021,Parent(s),LGBTQ,Brevard Public Schools,Gender Queer was removed from a school library without following the District's challenge procedure.,FL,1,0,0,0,0,0
"Book Challenge: Various books challenged for Sex, Political/Social Views, and Profanity","Sex, Profanity",https://www.kake.com/story/45164775/goddard-school-district-reverses-decision-to-pull-29-books-out-of-circulation,Book Challenge,2021,Staff/Admin/Board,Various,Goddard USD 265,"A school district removed more than two dozen books from circulation in the district's school libraries, citing national attention and challenges to the books elsewhere. After an outcry, the District reversed its decision.",KS,0,0,0,0,1,0
Book Challenge: 33 Snowfish challenged for Sex,Sex,https://ncac.org/news/spotsylvania-order-books-library,Book Challenge,2021,Parent(s),Various,Spotsylvania County Public Schools,"The Spotsylvania County School Board directed staff to begin removing books that contain =E2=80=9Csexually explicit=E2=80=9D material from library shelves and report on the number of books that have been removed at a special called meeting next week. After the Board's attorney opined that the order was unconstitutional, and many parents objected to the order, the order was rescinded.",VA,0,0,0,0,1,0
Art/Display: Student poster removed for Anti-Police content,Anti-Police,https://patch.com/new-jersey/hillsborough/controversary-stirs-over-censorship-hillsborough-students-art,Art/Display,2021,Staff/Admin/Board,N/A,Hillsborough Township Public Schools,"A poster created by a student was removed from an African American display at Hillsborough Middle School at the direction of a member of the board of education, because it was ostensibly anti-police.",NJ,0,0,0,1,0,0
Book Challenge: Various books challenged for Sex,Sex,https://governor.sc.gov/news/2021-11/gov-henry-mcmaster-requests-investigation-obscene-materials-public-school-libraries?fbclid=3DIwAR3WLmzHoMwBM0nWDQlKuD1L_eV3UtG_iqcpW7BboSzH9upbI-4qF18gVho,Book Challenge,2021,Government Official,LGBTQ,Governor of South Carolina,South Carolina Governor Henry McMaster requested that the state's Superintendent of Education begin a comprehensive investigation into the presence of obscene and pornographic materials in public schools in South Carolina.  The request was sparked by a challenge to Gender Queer in a local school district,SC,0,0,0,0,1,0
Book Challenge: Various books challenged for Profanity and Sex,"Sex, Profanity",https://news.yahoo.com/urbandale-book-committee-recommends-keeping-215545748.html?utm_source=3Dpocket_mylist,Book Challenge,2021,Parent(s),LGBTQ,Urbandale Community School District,"A parent challenged All Boys Aren't Blue by George Johnson, Gender Queer by Maia Kabobe, Lawn Boy by Jonathan Evison, The Absolutely True Diary of a Part-Time Indian by Sherman Alexie and Hey, Kiddo by Jarrett Krosoczka. A committee recommended that all of the books be retained.",IA,1,0,0,0,0,0
Book Challenge: All Boys Aren't Blue challenged for Sex,Sex,https://www.rawstory.com/banned-books-in-florida/?fbclid=3DIwAR32xOB6cenam_IINiM86PSuAAebGgnyoggINs-SMwaPuRY1-7KMaBVoNco,Book Challenge,2021,Parent(s),LGBTQ,Flagler County Schools,"A member of the Flagler County, Florida school board filed a criminal complaint over four copies of All Boys Aren't Blue, an LGBTQ book recommended for 14 to 18 year olds, claiming it violates the state's obscenity laws.",FL,1,0,0,0,0,0
Book Challenge: Gender Queer challenged for Sex,Sex,https://ncac.org/news/superintendent-in-harrisonburg-virginia-unilaterally-removed-lgbtq-book-from-school-libraries,Book Challenge,2021,Parent(s),LGBTQ,Harrisonburg City Schools,Gender Queer is going through the District's challenge procedure after a formal complaint was filed,VA,1,0,0,0,0,0
Book Challenge: Gender Queer challenged for Sex,Sex,https://kfoxtv.com/news/local/canutillo-isd-removes-controversial-gender-queer-book-out-of-circulation,Book Challenge,2021,Parent(s),LGBTQ,Canutillo ISD,Gender Queer was removed from circulation pending the outcome of a challenge.,TX,1,0,0,0,0,0
Book Challenge: Various books challenged for Sex,Sex,https://scotteblog.com/2021/11/18/parents-file-criminal-police-reports-against-hcpss-and-howard-county-board-of-education-regarding-sexually-explicit-materials-in-public-schools/,Book Challenge,2021,Parent(s),Various,Howard County Public School System,"Parents in Howard County, MD, filed criminal complaints alleging that obscene works are present in the county's schools.",SC,0,0,0,0,1,0
Book Challenge: Gender Queer challenged for Sex,Sex,https://ncac.org/news/downers-grove-illinois-book-challenge-proud-boys,Book Challenge,2021,Parent(s),LGBTQ,Community High School District 99,"Two formal complaints were filed to Gender Queer, leading to large-scale lobbying at school board meeting by adherents on both sides. We offered assistance in reforming district challenge procedures, which were minimal.",IL,1,0,0,0,0,0
Book Challenge: Gender Queer challenged for Sex,Sex,https://ncac.org/news/keller-texas-school-book-censorship,Book Challenge,2021,Staff/Admin/Board,LGBTQ,Keller ISD,"A school district removed several books from district libraries without submitting those books to the District's book challenge procedures, and despite the fact that District policy expressly states that =E2=80=9Caccess to a challenged resource shall not be restricted during the reconsideration process=E2=80=9D",TX,0,0,0,0,1,0
Book Challenge: Gender Queer challenged for Sex,Sex,https://ncac.org/news/pinellas-florida-gender-queer-book-ban,Book Challenge,2021,Staff/Admin/Board,LGBTQ,Pinellas County Schools,"Gender Queer was removed from a library w/o following procedure because it was district leadership who challenged the book,and the district claims that its challenge procedure does not apply to challenges brought by administrators.",FL,0,0,0,0,1,0
Book Challenge: The Bluest Eye and  Lawn Boy challenged for Sex,Sex,https://news.stlpublicradio.org/education/2021-11-18/schools-across-st-louis-face-more-attempts-to-remove-books-from-library-shelves,Book Challenge,2021,Parent(s),Race,Wentzville School Dist,"The Wentzville School District temporarily removed =E2=80=9CThe Bluest Eye=E2=80=9D by Toni Morrison and =E2=80=9CLawn Boy=E2=80=9D by Jonathan Evison, pending the outcome of challenges.",MO,0,0,0,0,1,0
Book Challenge: Gender Queer and Where I End And You Begin challenged for Sex,Sex,https://news.stlpublicradio.org/education/2021-11-18/schools-across-st-louis-face-more-attempts-to-remove-books-from-library-shelves,Book Challenge,2021,Parent(s),LGBTQ,Rockwood School District,The Rockwood School District conducted formal challenges to remove both =E2=80=9CGender Queer=E2=80=9D by Maia Kobabe and =E2=80=9CWhere I End And You Begin=E2=80=9D by Preston Norton.,MO,0,0,0,0,1,0
Book Challenge: Various books challenged for Sex,Sex,https://fox2now.com/news/missouri/these-are-the-books-being-challenged-at-some-st-louis-area-school-districts/,Book Challenge,2021,Parent(s),N/A,Francis Howell School Dist,Five books were challenged at Francis Howell School District,MO,0,0,0,0,1,0
Book Challenge: It's Perfectly Normal challenged for Sex,Sex,https://www.newscentermaine.com/article/news/education/york-school-committee-to-vote-on-banning-a-book-about-puberty-sex-education/97-5be76c51-a2bf-48b1-9e87-a85c04e12b7b,Book Challenge,2021,Parent(s),N/A,York School Dept,A formal request was made to remove Its Perfectly Normal from a middle school library,ME,0,0,0,1,0,0
Book Challenge: Various books challenged for Sex,Sex,https://www.newsobserver.com/news/local/education/article256264562.html,Book Challenge,2021,Parent(s),LGBTQ,Wake County Public School System,"Nine criminal complaints were filed against the school district over the inclusion in school libraries of Gender Queer,=E2=80=9DAll Boys Aren't Blue, George and Lawn Boy.",NC,0,0,0,0,1,0
Book Challenge: Various books challenged for Sex,Sex,https://ncac.org/news/texas-list-book-removed,Book Challenge,2021,Parent(s),N/A,North East ISD,"After a TX Rep released a list of 850+ books that he claimed were potentially problematic, the district removed 400 books to be reviewed even though the District's policy says that access to challenged resources must not be restricted during the reconsideration process.  The district also removed some books without engaging in the district's challenge procedure",TX,0,0,0,0,1,0
Book Challenge: It's Perfectly Normal challenged for Sex,Sex,https://www.news8000.com/holmen-school-board-keeps-its-perfectly-normal-on-middle-school-shelves-after-appeal-for-removal/,Book Challenge,2021,Parent(s),N/A,School Dstrict of Holmen,"The Holmen School Board voted to keep It's Perfectly Normal, a book for kids about puberty and sexual health, on its middle school's shelves after an appeal to have it removed.",WI,0,0,0,1,0,0
Book Challenge: Gender Queer challenged for Sex,Sex,https://www.kniakrls.com/2021/12/15/gender-queer-a-memoir-to-remain-on-shelves-at-the-pella-public-library/?fbclid=3DIwAR0KBSlpG6LOV-BEIGhADEJ1-j3bXBPVSn3QkB3efEKd1Cnw1a3LF83pxVs,Book Challenge,2021,Community Members,LGBTQ,Pella Public Library,"After a challenge by a citizen of Pella, the Pella Public Library Board voted unanimously to keep the graphic autobiography Gender Queer shelved in the adult section of the library.",IA,0,1,0,0,0,0
Book Challenge: Out of Darkness and The Hate U Give challenged for Sex and Profanity,"Sex, Profanity",https://www.abc4.com/news/southern-utah/southern-utah-school-district-bans-two-historically-relevant-books-after-one-parents-complaint/,Book Challenge,2021,Parent(s),N/A,Washington County School District,Out of Darkness and The Hate U Give were removed from libraries after review committees recommended removal.,UT,0,0,0,0,1,0
Book Challenge: It's Perfectly Normal and In The Night Kitchen Removed for Sex,Sex,https://ncac.org/news/llano-county-texas-book-removals,Event/Other Expression,2021,Government Official,N/A,Llano County Library,"It's Perfectly Normal, by Robie Harris; and In The Night Kitchen, by Maurice Sendak, were reportedly removed from a public library under pressure from local politicians, against the library's book challenge procedures.",TX,0,1,0,0,0,0
"Book Challenge: Seven Books Challenged for ""Inappropriate"" Content",N/A,https://www.fortbendstar.com/schoolnews/lamar-consolidated-isd-reviewing-book-content-after-complaints/article_ed136116-6cdc-11ec-92cc-a32e7f635c6b.html,Book Challenge,2022,Parent(s),LGBTQ,Lamar Consolidated ISD,"A book review committee reviewed Me and Earl and the Dying Girl by Jesse Andrews; Forever for a Year by B.T. Gottfred; Jack of Hearts by Lev Rosen; All Boys Aren't Blue by George Johnson; The Breakaways by Cathy Johnson; The Nerdy and the Dirty by B.T. Gottfred; and Lawn Boy by Jonathan Evison, for ""inappropriate"" content.",TX,0,0,0,0,1,0
"Book Challenge: Born a Crime Challenged for Violence, Profanity and Sex","Sex, Profanity, Violence",https://www.hometownsource.com/press_and_news/news/education/osseo-school-board-votes-to-keep-born-a-crime-on-the-shelves/article_3c975ad4-6e5f-11ec-96bc-1bf8ea99ddbe.html,Book Challenge,2022,Parent(s),N/A,Osseo Area School District 279,"After a parent challenged Born a Crime by Trevor Noah, the school board voted to retain it.",MN,1,0,0,0,0,0
Book Challenge: To Kill A Mockingbird Challenged for Intolerance,Intolerance,https://www.king5.com/article/news/education/racial-concerns-mukilteo-consider-removing-to-kill-a-mockingbird-required-reading-list/281-a551040d-c54c-4257-b70f-c01d9933e191,Book Challenge,2022,Parent(s),N/A,Mukilteo School District,"After a parent challenged To Kill A Mockingbird, a committee voted to remove it from the required reading list, but to keep it on an approved list for voluntary use by teachers.",WA,1,0,0,0,0,0
Book Challenge: Several Books Challenged for Sex,Sex,https://trib.com/news/local/casper/students-speak-against-removing-controversial-books-from-casper-school-libraries/article_39e320d5-da84-54d8-b7eb-bb2407206ae6.html,Book Challenge,2022,Parent(s),LGBTQ,Natrona County School District 1,"Students spoke out at a school board meeting against the removal of Gender Queer, Traffick, Monday's Not Coming, and You and Me and Him.",WY,1,0,0,0,0,0
Book Challenge: Lawn Boy Challenged for Sex,Sex,https://ncac.org/news/wayzata-library-lawn-boy-book-removed,Book Challenge,2022,Parent(s),LGBTQ,Wayzata Public Schools,"School officials in Wayzata, Minnesota, removed Lawn Boy by Jonathan Evison from the Wayzata High School library in violation of District regulations.",MN,1,0,0,0,0,0
Book Challenge: Out of Darkness Challenged for Sex,Sex,https://www.henricocitizen.com/articles/book-removed-from-henrico-schools-as-governors-race-centers-book-banning/,Book Challenge,2021,Parent(s),Race,Henrico County Public Schools,"Out of Darkness was removed from school libraries in Henrico County, VA - per media inquiry. Unclear if it was permanently removed, or removed pending the outcome of the challenge. Policy requires all challenges to be decided by the board, after recommendation by committee and Superintendent.",VA,1,0,0,0,0,0
"Book Challenge: All Boys Aren't Blue, Gender Queer, and Me and Earl and the Dying Girl Challenged for Sex",Sex,N/A,Book Challenge,2022,N/A,LGBTQ,Downingtown Area School District,"Although board regulations require that book challenges be adjudicated according to a specified process, board policy allows administrators to ignore regulations at their discretion. Hence, these books were removed without going through the challenge procedure.",PA,1,0,0,0,0,0
Event/Other Expression: Student Speech Censored for LGBTQ Content,LGBTQ,https://cnycentral.com/news/local/crisis-in-the-classroom-gay-tully-high-school-senior-censored-by-school-publication,Event/Other Expression,2022,Staff/Admin/Board,N/A,Tully Central School District,"A 17-year-old student claimed that, after being selected as a featured student in a senior spotlight profile in a school-sponsored publication, he was told that what he wrote would not be published because he talked about his sexuality.",NY,1,0,0,0,0,0
Book Challenge: Gender Queer Challenged for Sex,Sex,https://www.loudountimes.com/news/superintendent-s-decision-to-pull-controversial-book-backed-up-by-school-board-committee/article_f3e7111a-795f-11ec-9e1a-c3943015198e.html,Book Challenge,2022,Parent(s),LGBTQ,Loudoun County Public Schools,"The school board upheld the superintendent's decision to remove Gender Queer from school libraries, overruling the recommendation of a review committee.",VA,1,0,0,0,0,0
Book Challenge: I'm a Gay Wizard Challenged for Sex,Sex,https://www.henricocitizen.com/articles/henrico-schools-pulls-another-book-from-library/,Book Challenge,2022,Parent(s),LGBTQ,Henrico County Public Schools,I'm a Gay Wizard was removed from library shelves pending the outcome of a challenge.,VA,1,0,0,0,0,0
Book Challenge: Lawn Boy and Gender Queer Challenged for Sex,Sex,https://billingsgazette.com/news/local/billings-school-board-votes-to-keep-controversial-books-addressing-lgbtq-issues/article_44a1966a-5d0c-5743-bb5b-053b5ef79e2a.html,Book Challenge,2022,Parent(s),LGBTQ,Billings Public Schools,The Billings Public School Board voted to keep both Gender Queer and Lawn Boy on library shelves after a review committee recommended keeping the latter and removing the former.,MT,1,0,0,0,0,0
Book Challenge: Various Books Challenged for LGBTQ Content,LGBTQ,https://www.mississippifreepress.org/20068/ridgeland-mayor-demands-lgbtq-book-purge-threatens-library-funding/,Book Challenge,2022,Government Official,LGBTQ,City of Ridgeland,"The mayor of Ridgeland, MS, threatened to withhold library funding unless the library removed LGBTQ+ books.",MS,0,1,0,0,0,0
Book Challenge: Gender Queer Challenged for Sex,Sex,https://www.readingeagle.com/2022/01/28/kutztown-school-board-gender-queer-high-school-library,Book Challenge,2022,Parent(s),LGBTQ,Kutztown Area School District,The school board voted to retain Gender Queer in school libraries after it was challenged by a parent.,PA,1,0,0,0,0,0
Book Challenge: Beyond Magenta Challenged for Sex,Sex,https://hl.nwaonline.com/news/2022/jan/09/board-votes-to-remove-book-from-high-school/,Book Challenge,2022,Parent(s),LGBTQ,Siloam Springs School District,The school board voted to remove Beyond Magenta by Susan Kuklin from the high school library and restrict its access from the counseling office.,AR,1,0,0,0,0,0
"Book Challenge: Various Books Challenged for Sex, Profanity","Sex, Profanity",https://www.tennessean.com/story/news/local/williamson/2022/01/25/williamson-county-schools-committee-removes-book-elementary-curriculum/9217318002/,Book Challenge,2022,Parent(s),LGBTQ,Williamson County Schools,"After a parents' group filed challenges to 31 books, a district committee recommended removing one book from the elementary school curriculum, limiting the use of six others, and keeping the rest with no restrictions.",TN,0,0,1,0,0,0
Book Challenge: Lawn Boy Removed for Sex,Sex,N/A,Book Challenge,2022,Parent(s),LGBTQ,Novi Community School District,"Lawn Boy was removed from a school library. District policy currently gives school principals discretion to remove books, but the district is considering amending that policy. NCAC provided them with our guidelines for book challenge procedures.",MI,1,0,0,0,0,0
Book Challenge: Maus Removed for Sex,Sex,https://ncac.org/news/maus-removed-tennessee-school-district,Book Challenge,2022,Community Members,Other,McKinn County School District,Board members voted unanimously to remove Maus from the curriculum because it contained swear words and a naked illustration. They did not follow the district's challenge procedures.,TN,0,0,0,0,1,0
Art/Display: Student Art Removed for Political/Social Views,"LGBTQ, Political/Social Views",https://ncac.org/news/georgia-lgbtq-school-artwork,Art/Display,2022,Staff/Admin/Board,N/A,Clarke County School District,"After a parent complained about an LGBTQ flag on the door of a fifth-grade teacher's classroom, an assistant principal noticed pieces of art students had created on their own time=E2=80=94not as part of an assignment=E2=80=94on Pride Week in October and ordered the teacher to take them down.",GA,0,0,1,0,0,0
"Book Challenge: Gender Queer, Out of Darkness and Lawn Boy Challenged for Sex",Sex,https://abc11.com/lgbt-books-in-schools-orange-county-school-board-obscene/11527588/,Book Challenge,2022,Parent(s),LGBTQ and Race,Orange County School District,"The school board rejected a challenge to Gender Queer, Out of Darkness and Lawn Boy.",NC,1,0,0,0,0,0
"Book Challenge: Dragonwings Removed for Intolerance, Profanity, Violence, and Drugs/Alcohol","Intolerance, Profanity, Violence",https://www.wbir.com/article/news/education/blount-county-middle-school-removes-dragonwings-from-curriculum-after-parents-express-concerns/51-6c40df29-2a72-43dd-b5ca-93baa3083dcc,Book Challenge,2022,Community Members,Race,Blount County Schools,Dragonwings was removed from the 6th-grade curriculum after a review committee recommended its removal.,TN,0,0,1,0,0,0
Book Challenge: Jack of Hearts (and Other Parts) and If I Was Your Girl Challenged for Sex,Sex,https://komonews.com/news/crisis-in-the-classroom/controversial-books-no-longer-under-review-kent-librarian-says,Book Challenge,2022,Parent(s),LGBTQ,Kent School District,Two book challenges were terminated because proper procedures were not followed. There was no effort to resolve it informally before formal challenges were initiated.,WA,0,0,0,1,0,0
Book Challenge: The Girl Who Fell from the Sky Challenged for Sex,Sex,https://www.wsoctv.com/news/local/cms-investigating-complaints-about-book-parents-say-is-inappropriate/3BFTDDY7IJE3RGUUHST4RRYYSQ/,Book Challenge,2022,Parent(s),Race,Charlotte-Mecklenburg Schools,Charlotte-Mecklenburg Schools said it is looking into complaints about a novel that ninth-grade students are required to read.,NC,1,0,0,0,0,0
Book Challenge: Gender Queer Challenged for Sex,Sex,https://coppellchronicle.substack.com/p/coppell-chronicle-vol-1-no-51,Book Challenge,2022,Parent(s),LGBTQ,Cozby Library and Community Commons,"The library board in Coppell, TX, deadlocked on whether to remove Gender Queer. A library committee had recommended keeping it.",TX,0,1,0,0,0,0
Book Challenge: The Hate U Give Challenged for Profanity,Profanity,https://www.wqad.com/article/news/education/rowva-schools-ook-ban-the-hate-u-give/526-1c69484d-84fb-42af-875a-014d3078285f,Book Challenge,2022,Parent(s),Race,ROWVA CUSD 208,"The school board removed The Hate U Give from classes during a closed session in November. But after an outcry from parents, they reopened the discussion to the public and are now reassessing district policies. The book had never been adopted by the district. NCAC sent book challenge guidelines to the district.",IL,1,0,0,0,0,0
Book Challenge: Thirteen Reasons Why and Me and Earl and the Dying Girl Challenged for Sex and Dark Themes,"Sex, Dark Themes",https://stateimpact.npr.org/oklahoma/2022/02/16/after-community-challenge-bixby-public-schools-will-keep-pair-of-books-in-libraries/,Book Challenge,2022,Parent(s),N/A,Bixby Public Schools,The Bixby Public Schools Board of Education voted unanimously to keep Thirteen Reasons Why and by a margin of 3-2 to keep Me and Earl and the Dying Girl in the wake of the challenge.,OK,0,0,0,0,1,0
Book Challenge: Various Books Removed for Sex,Sex,https://ncac.org/news/polk-county-florida-book-school,Book Challenge,2022,Community Members,LGBTQ,Polk County Public Schools,"School Superintendent asked middle and high school librarians to remove 16 books from school media center shelves for a review after receiving complaints about the books from the activist group County Citizens Defending Freedom. The group claimed that the books were ""harmful to minors"" under Florida law.",FL,0,0,0,0,1,0
