state,bill_number,date_introduced,status,primary_sponsor,description,enforcement_penalties,bill_hyperlink,status_hyperlink,targets_k-12,targets_colleges,targets_state_institutions,targets_state_contractors,targets_state_agencies,targets_employers,targets_state_entities,targets_private_business,targets_political_subdivisions,targets_non-profits,targets_tax_exempt_organizations
Alabama,HB 8,2022-01-11,Pending,Rep. Chris Pringle (R),"Bars public K-12 schools and public institutions of higher education from teaching, instructing, or training any student to adopt or believe certain concepts related to race or sex.",None specified,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2022RS/PrintFiles/HB8-int.pdf,https://legiscan.com/AL/bill/HB8/2022,1,1,0,0,0,0,0,0,0,0,0
Alabama,HB 9/SB 7,2022-01-11,Pending,"Rep. Ed Oliver, Sen. Will Barfoot (R)","Bars ""agencies and political subdivisions of this state, including school districts and public institutions of higher education"" from ""teach[ing], instruct[ing], or train[ing] any employee, contractor, staff member, student, or any other individual group to adopt or believe divisive concepts.""","Forfeit of current state contract
Ineligible for future contracts",https://legiscan.com/AL/bill/HB9/2022,https://legiscan.com/AL/bill/SB7/2022,1,1,1,1,0,0,0,0,0,0,0
Alabama,HB 11,2022-01-11,Pending,Rep. Danny Crawford (R),"Bans schools from requiring students ""to personally affirm, adopt, or adhere to"" outlined tenets allegedly associated with critical race theory, or from doing so in a course of instruction. Bans schools from ""distinguish[ing] or classify[ing] a student based on race or color."" Mandates termination of any employee who violates the provisions of the bill.",Professional discipline,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2022RS/PrintFiles/HB11-int.pdf,https://legiscan.com/AL/bill/HB9/2022,1,1,0,0,0,0,0,0,0,0,0
Alabama,HB 312,2022-02-08,Pending,Rep. Ed Oliver (R),"Prohibits K-12 schools and state agencies from promoting to students or employees certain ideas related to race, sex, or religion. Public colleges may teach about these ideas, but may not endorse or compel anyone to adopt or affirm them. No instructor shall be required to share their point of view about a ""widely debated and currently controversial issues of public policy or social affairs."" ","Professional discipline
",https://legiscan.com/AL/text/HB312/id/2508762/Alabama-2022-HB312-Introduced.pdf,https://legiscan.com/AL/bill/HB312/2022,1,1,0,1,1,0,0,0,0,0,0
Alaska,HB 228,2022-01-07,Pending,Rep. Tom McKay (R),"Bans public K-12 schools and colleges from compelling students to adopt or affirm certain ideas about race, sex, ethnicity, religion, color, or national origin. Prohibits these institutions from making any use of the 1619 Project.",Private right of action,http://www.akleg.gov/PDF/32/Bills/HB0228A.PDF,http://www.akleg.gov/basis/Bill/Detail/32?Root=hb%20228,1,1,0,0,0,0,0,0,0,0,0
Alaska,HB 330,2022-02-16,Pending,Rep. Ron Gillham (R),"Prohibits public K-12 and colleges from compelling, indoctrinating, persuading, or attemting to indoctrinate or persuade a student to adopt or affirm certain ideas related to ""sex, race, ethnicity, religion, color, or national origin.""",None specified,https://legiscan.com/AK/text/HB330/id/2519409/Alaska-2021-HB330-Introduced.pdf,https://legiscan.com/AK/bill/HB330/2021,1,1,0,0,0,0,0,0,0,0,0
Arizona,HCR 2001,2022-01-12,Pending Note: This is a proposed amendment to the state constitution. Passed by House.,Rep. Steve Kaiser (R),"Bans K-12 schools and colleges from requiring students to adopt or affirm certain ideas related to race or ethnicity. All K-12 employees, as well as all college employees discharging duties outside of the classroom, may not promote or endorse certain ideas related to race or ethnicity. No employee of a public school or college shall be required to affirm, as a condition of employment or promotion, certain ideas about diversity, equity, and inclusion. ",None specified,https://legiscan.com/AZ/text/HCR2001/2022,https://legiscan.com/AZ/bill/HCR2001/2022,1,1,0,0,0,0,0,0,0,0,0
Florida,SB 242/HB 57,2022-01-11,Pending,Sen. Joe Gruters (R),"Bans state agencies, state contractors, and county and municipality governing bodies from teaching, advocating, or promoting divisive concepts, race or sex scapegoating, or race or sex stereotyping in employee trainings. Bans public schools and universities from teaching, advocating, or promoting divisive concepts, race or sex scapegoating, or race or sex stereotyping in curriculum or mandatory employee or student training. ",Ineligible for state contracts,https://www.myfloridahouse.gov/Sections/Documents/loaddoc.aspx?FileName=_h0057__.docx&DocumentType=Bill&BillNumber=0057&Session=2022,https://www.flsenate.gov/Session/Bill/2022/242/?Tab=RelatedBills,1,1,0,1,1,0,0,0,0,0,0
Florida,SB 148/HB 7,2022-01-11,Pending,"Sen. Manny Diaz (R), Rep. Bryan Avila (R)","Bars K-12 schools from adopting any instructional materials or engaging in any professional development programs that are inconsistent with certain ideas about race, sex, color, national origin, religion, or disability. Prohibits schools from making students feel ""discomfort, guilt, anguish, or any other form of psychological distress on account of his or her race."" No person may be required, as a condition of ""certification, licensing, credentialing, or passing an examination,"" to instruction that ""espouses, promotes, advances, inculcates, or compels"" individuals to believe in certain ideas about race, sex, color, or national origin.",None specified,https://legiscan.com/FL/text/S0148/2022,https://legiscan.com/FL/bill/S0148/2022,1,1,0,0,0,1,0,0,0,0,0
Georgia,HB 888,2022-01-12,Pending,Rep. Brad Thomas (R),"Bars K-12 schools from compelling students to adopt or affirm certain ideas related to race, ethnicity, color, religion, or national origin, or to engage in or observe a discussion of public policy. Prohibits contracting with any third-party to provide instruction that promotes any of these ideas. Requires schools to make all curricular material accessible for review by parents in advance of instruction and provide a means for opting their children out of the lesson. States the legislature's intent that colleges should strive for institutional neutrality on all matters not germane to their immediate duties and functions.","Private right of action, Monetary penalty/Loss of state financial support",https://legiscan.com/GA/text/HB888/id/2474073/Georgia-2021-HB888-Introduced.pdf,https://legiscan.com/GA/bill/HB888/2021,1,1,0,0,0,0,0,0,0,0,0
Georgia,SB 377,2022-01-26,Pending,Sen. Jeff Mullis (R),"Bars K-12 schools, public colleges, and state agencies from including in their employee training and classroom instruction any material ""teach[ing], act[ing] upon, promot[ing], or encourag[ing]"" certain ""divisive concepts"" related to race or ethnicity. ",Monetary penalty/Loss of state financial support,https://www.legis.ga.gov/api/legislation/document/20212022/203938,https://legiscan.com/GA/text/SB377/2021,1,1,0,0,1,0,0,0,0,0,0
Idaho,HB 488,2022-01-28,Pending,Rep. Priscilla Giddings (R),Adds penalties and a right of private action to HB 377.,"Private right of action
Monetary penalty/Loss of state financial support",https://legiscan.com/ID/text/H0488/id/2495093/Idaho-2022-H0488-Introduced.pdf,https://legiscan.com/ID/bill/H0488/2022,1,1,0,0,0,0,0,0,0,0,0
Illinois,HB 5505,2022-01-28,Pending,Rep. Adam Niemerg (R),"Bars K-12 schools and colleges from directing or compelling students to affirm or adopt certain ideas related to sex, race, ethnicity, religion, color or natural origin. Parents, students, and members of the public have the right to object to any part of a K-12 curriculum that directs or compells affirmation or adoption of such ideas, and the school must address that objection. Note: The bill goes on to state that one way the school may address the objection is to ""provide additional balance or factual basis, or correct any factual bases found to be incorrect or biased."" It is unclear how this step would address a lesson involving directed or compelled speech.",None specified,https://legiscan.com/IL/text/HB5505/id/2495465/Illinois-2021-HB5505-Introduced.html,https://legiscan.com/IL/bill/HB5505/2021,1,1,0,0,0,0,0,0,0,0,0
Indiana,SB 167,2022-01-04,Pending,Sen. Scott Baldwin (R),"Bans schools from directing or compelling students to adopt or affirm certain ideas related to sex, race, ethnicity, religion, color, national origin, or political affiliation. Schools may not require employees to engage in training that includes similar ideas. A community review committee shall be established to review all proposed curricular material. All curricular material must be accessible to the public on a searchable website, and schools must obtain parental consent before offering mental health treatments. Further prohibits state agencies and public schools and colleges from including or promoting certain ideas in their instruction related to sex, race, ethnicity, religion, color, national origin, or political affiliation. Additional prohibitions apply to faculty and students in ""teacher preparation programs"" in postsecondary institutions. Erodes certain legal protections for public libraries.",Private right of action,https://legiscan.com/IN/text/SB0167/id/2462721/Indiana-2022-SB0167-Introduced.pdf,https://legiscan.com/IN/bill/SB0167/2022,1,1,0,0,1,0,0,0,0,0,0
Indiana,HB 1228,2022-01-06,Pending,Rep. Shane Lindauer (R),"Bans K-12 schools from including in their curricula certain ideas related to race or sex. Prohibits public K-12 schools and colleges from requiring any form of gender or sexual diversity training or orientation, nor including in any orientation or required course or training any sex or race stereotyping.",None specified,https://legiscan.com/IN/text/HB1228/id/2465292/Indiana-2022-HB1228-Introduced.pdf,https://legiscan.com/IN/bill/HB1228/2022,1,1,0,0,0,0,0,0,0,0,0
Indiana,SB 415,2022-01-11,Pending,Sen. Erin Houchin (R),"Bans public K-12 schools, colleges, and state agencies from including in their curricula or directing or compelling students to adopt or affirm certain ideas related to race or sex. They are also prohibited from requiring any employee to undertake professional training that includes racial or sex stereotyping. Public colleges may not require students to engage in any form of mandatory gender or sexual diversity training or counseling.",None specified,https://legiscan.com/IN/text/SB0415/id/2471417/Indiana-2022-SB0415-Introduced.pdf,https://legiscan.com/IN/bill/SB0415/2022,1,1,0,0,1,0,0,0,0,0,0
Indiana,HB 1362,2022-01-11,Pending,Rep. Chuck Goodrich (R),"Bans public K-12 schools, colleges, and state agencies from requiring students to adopt or affirm any anti-American ideologies or certain ideas related to race, ethnicity, sex, religion, color, national origin, or political affiliation. Schools and colleges are also prohibited from including or promoting these same ideas and ideologies. Requires schools to place all curricular material online for public review. ",Private right of action,https://legiscan.com/IN/text/HB1362/id/2470063/Indiana-2022-HB1362-Introduced.pdf,https://legiscan.com/IN/bill/HB1362/2022,1,1,0,0,1,0,0,0,0,0,0
Indiana,HB 1389,2022-01-13,Pending,Rep. Christopher Judy (R),"Bars K-12 schools from including or promoting certain ideas in their curricula related to race or sex. Prohibited from contracting with any third party for that purpose. Requires schools to post curricular information on a publicly searchable website and offer parents the ability to opt their children out of topics and assignments. Requires college faculty to remain impartial regarding any political activism or internship involving ""social or public policy"" in which students participate as part of their education.","Private right of action
Monetary penalty/Loss of state financial support
Civil suit by state AG",https://legiscan.com/IN/text/HB1389/id/2477181/Indiana-2022-HB1389-Introduced.pdf,https://legiscan.com/IN/sponsors/HB1389/2022,1,1,0,0,0,0,0,0,0,0,0
Indiana,HB 1134 Passed by House in amended version without language on postsecondary institutions.,2022-01-13,"Pending, passed by House",Rep. Anthony Cook (R),"Bans schools from directing or compelling students to adopt or affirm certain ideas related to sex, race, ethnicity, religion, color, national origin, or political affiliation. Schools may not require employees to engage in training that includes similar ideas. Further prohibits state agencies and public schools and colleges, as well as private K-12 schools in the delivery of civics courses, from including or promoting certain ideas in their instruction related to sex, race, ethnicity, religion, color, national origin, or political affiliation. Additional prohibitions apply to faculty and students in ""teacher preparation programs"" in postsecondary institutions. Erodes certain legal protections for public libraries.","Private right of action
Professional discipline",https://legiscan.com/IN/text/HB1134/id/2464216/Indiana-2022-HB1134-Introduced.pdf,https://legiscan.com/IN/bill/HB1134/2022,1,1,0,0,1,0,0,0,0,0,0
Iowa,HF 222,2021-01-27,Pending,Rep. Skyler Wheeler (R),"Bans use of 1619 Project curriculum. Reduces budget for schools, colleges, and universities violating curriculum restrictions.",Monetary penalty/Loss of state financial support,https://www.legis.iowa.gov/docs/publications/LGI/89/HF222.pdf,https://legiscan.com/IA/text/HF222/id/2260602,1,1,0,0,0,0,0,0,0,0,0
Iowa,SF 478,2021-02-25,"Pending, passed by Senate",Committee on Education,"Mandates First Amendment training for institutions of higher education, and authorizes penalties for faculty who violate free speech rights. Prohibits training that teaches or promotes divisive concepts. Mandates suspension of funds from student government organizations violating the First Amendment. Creates penalties for discrimination based on political bias in schools.","Professional discipline
Suspension of student government financial authority",https://www.legis.iowa.gov/docs/publications/LGI/89/SF478.pdf,https://www.legis.iowa.gov/legislation/BillBook?ga=89&ba=sf478,1,1,0,0,0,0,0,0,0,0,0
Kansas,HB 2662,2022-02-09,Pending,House K-12 Education Budget Committee,"Bars K-12 schools from displaying, presenting, or distrubuting to students any material containing ""sexual conduct"". Colleges and universities may use such materials, but only as part of an ""approved course or program of instruction"". ""Sexual conduct"" is defined in the bill as including any depiction of homosexuality.",Criminal prosecution,https://legiscan.com/KS/text/HB2662/id/2510716/Kansas-2021-HB2662-Introduced.pdf,https://legiscan.com/KS/bill/HB2662/2021,1,1,0,0,0,0,0,0,0,0,0
Kentucky,HB 14,2022-01-04,Pending,Rep. Joseph Fischer (R),"Bans public K-12 schools from promoting certain concepts. Bans mandatory gender or sexual diversity training, as well as any form of race of sex stereotyping or bias, in public colleges.","Professional discipline
Monetary penalty/Loss of state financial support",https://apps.legislature.ky.gov/recorddocuments/bill/22RS/BR60/orig_bill.pdf,https://legiscan.com/KY/bill/HB14/2022,1,1,0,0,0,0,0,0,0,0,0
Kentucky,HB 18,2022-01-04,Pending,Rep. Matt Lockett (R),"Bans public K-12 schools from offering ""any classroom instruction or discussion"" or distributing ""printed or digital material"" on certain concepts. Bans public college students from being ""subjected to any classroom instruction or discussion... or printed or digital material"" that promotes certain concepts.","Private right of action
Monetary penalty/Loss of state financial support",https://apps.legislature.ky.gov/recorddocuments/bill/22RS/BR69/orig_bill.pdf,https://legiscan.com/KY/bill/HB18/2022,1,1,0,0,0,0,0,0,0,0,0
Kentucky,HB 487,2022-02-11,Pending,Rep. Matthew Lockett (R),"Bars public K-12 schools and teacher training programs in public and private colleges and universities from offering any ""instruction or discussion, formal or informal, or distributes any"" materials that ""disparage the fundamental American value of equality"" or that ""advocate, inculcate, or promote bigotry, revisionist history, or critical social justice."" These terms are defined by reference to certain ideas about race, sex, and religion, ""cynical"" forms of social analysis, and negative claims about American history. Schools and state agencies are similarly prohibited from contracting with any outside organization that would engage in any of the precedeing acts. ","Private right of action
Loss of accreditation",https://legiscan.com/KY/text/HB487/id/2513646/Kentucky-2022-HB487-Introduced.pdf,https://legiscan.com/KY/bill/HB487/2022,1,1,0,0,1,0,0,0,0,0,0
Mississippi,"SB 2113, Passed by Senate in amended version that extends application to community and junior colleges. ",2022-01-12,"Pending, passed by Senate",Rep. Michael McLendon (R),"Bars public K-12 schools and colleges from compelling students to affirm or adopt certain ideas related to race, sex, or other characteristics, nor make ""a distinction or classification of students based on account of race"".",None specified,https://legiscan.com/MS/text/SB2113/id/2473757/Mississippi-2022-SB2113-Introduced.html,https://legiscan.com/MS/bill/SB2113/2022,1,1,0,0,0,0,0,0,0,0,0
Missouri,HB 1634,2022-01-06,Pending,Rep. Brian Seitz (R),"Prohibits teachers from using any material that identifies people, groups, or institutions as sexist, racist, or oppressive. Prohibits use of the 1619 Project and similar curricula.",Monetary penalty/Loss of state financial support,https://legiscan.com/MO/text/HB1634/2022,https://legiscan.com/MO/votes/HB1634/2022,1,1,0,0,0,0,0,0,0,0,0
Missouri,HB 1484,2022-01-06,Pending,Rep. Ann Kelley (R),"Bans public K-12 and colleges from including certain ideas related to race or sex in their curricula. Also prohibits mandatory orientation or training related to gender or sexual diversity, as well as any orientation or requirement that includes ""race or sex stereotyping"".",None specified,https://legiscan.com/MO/text/HB1484/id/2452341/Missouri-2022-HB1484-Introduced.pdf,https://legiscan.com/MO/bill/HB1484/2022,1,1,0,0,0,0,0,0,0,0,0
Missouri,HB 1835,2022-01-06,Pending,Rep. John Wiemann (R),"Requires public school teachers to teach controversial issues objectively and forbids them from including as part of a course any form of political activism. Prohibits teachers from including in their curricula certain concepts related to race, sex, and the history of the United States.",None specified,https://legiscan.com/MO/text/HB1835/2022,https://legiscan.com/MO/text/HB1835/2022,1,0,0,0,1,0,0,0,0,0,0
Missouri,SB 645,2022-01-10,Pending,Sen. Andrew Koenig (R),"Bans public K-12 schools from requiring teachers adopt certain ideas related to race or sex. Limits the sources teachers may use in compiling their curricula. Requires that teachers promote an ""overall positive"" history and understanding of the US. Requires all K-12 curricula and teacher training programs be available online for public review.","Private right of action
Civil suit by state AG and other state officials",https://legiscan.com/MO/text/SB645/2022,https://legiscan.com/MO/bill/SB645/2022,1,1,0,0,0,0,0,0,0,0,0
Nebraska,LB 1077,2022-01-18,Pending,Sen. Ben Hansen (R),"Bars K-12 schools and public colleges from teaching, advocating, encouraging, promoting, or acting upon certain ideas related to race or sex as part of mandatory student or employee training. These institutions shall also, as part of their diversity and inclusion efforts, discourage students from discriminating on the basis of protected characteristics or political ideology. Note: According to the bill's primary sponsor, ""training"" in this bill is meant to include classroom instruction.","Monetary penalty/Loss of state financial support
Civil suit by state AG",https://legiscan.com/NE/text/LB1077/id/2481042/Nebraska-2021-LB1077-Introduced.pdf,https://legiscan.com/NE/bill/LB1077/2021,1,1,0,0,1,0,0,0,0,0,0
New Hampshire,HB 1255,2022-01-08,Pending,"Reps. Alicia Lekas, Glenn Cordelli, Keith Ammon, Tony Lekas, Erica Layon (R)","Bars teachers from advocating in any state institution for socialism, Marxism, or any doctrine that calls for the violent overthrow of the United States. Bars teachers in public schools from advocating for any doctrine promoting a negative account of the founding of the United States without also including ""the worldwide context of now outdated and discouraged practices.""",Professional discipline,http://gencourt.state.nh.us/lsr_search/billText.aspx?id=1537&type=4,https://legiscan.com/NH/bill/HB1255/2022,1,1,1,0,0,0,0,0,0,0,0
New Hampshire,HB 1313,2022-01-08,Pending,Rep. Roderick Ladd (R),Amends HB 2 to extend prohibitions on teaching to colleges.,"Private right of action
Professional discipline",https://legiscan.com/NH/text/HB1313/id/2461577/New_Hampshire-2022-HB1313-Introduced.html,https://legiscan.com/NH/text/HB1313/id/2461577/New_Hampshire-2022-HB1313-Introduced.html,0,1,0,0,0,0,0,0,0,0,0
New Jersey,A6140/SB664,2022-01-11,Pending,"Rep. Harold J. Wirths, Sen. Steven Oroho (R)","Bans public employers from requiring that any employee complete a training program that encourages the adoption of certain ideas related to race, sex, and other identities. ",None specified,https://legiscan.com/NJ/text/S664/id/2475144/New_Jersey-2022-S664-Introduced.html,https://legiscan.com/NJ/bill/S664/2022,1,1,1,0,0,0,0,0,0,0,0
New York,A8253,2022-01-05,Pending,Assemblyman Colin Schmitt (R),Prohibits public schools and universities from holding courses or curriculum teaching certain concepts. Bans requiring students or faculty to learn or study the 1619 Project.,None specified,https://legiscan.com/NY/text/A08253/id/2429778/New_York-2021-A08253-Introduced.html,https://legiscan.com/NY/bill/A08253/2021,1,1,0,0,0,0,0,0,0,0,0
Ohio,HB 327,2021-05-25,Pending,Rep. Diane Grendell (R),"Bans teaching or training of divisive concepts. Bars funding for school districts in violation until in compliance. Allows the ""impartial discussion of controversial aspects of history."" Prohibits state agencies (including institutions of higher education) from offering ""teaching, instruction, or training on divisive concepts to any employees, contractors, staff members, or any other individual or... requir[ing] them to adopt or believe in divisive concepts."" Bars punishment for state employees' ""refusal to support, believe, endorse, embrace, confess, act upon, or otherwise assent to divisive concepts."" Bans state agencies from accepting private funding for curriculum or training that promotes divisive concepts.","Monetary penalty/Loss of state financial support
Ineligibility of state contracts",https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb327/IN/00/hb327_00_IN?format=pdf,https://www.legislature.ohio.gov/legislation/legislation-summary?id=GA134-HB-327,1,1,1,0,0,0,0,0,0,0,0
Oklahoma,SB 614,2021-02-23,Pending,Sen. David Bullard (R),"Bars public colleges and universities from endorsing, promoting, demeaning, or intentionally undermine any religious or non-religious faith. Professors may not ""endorse, favor or promote socialism, communism or Marxism"", nor express or include any ""anti-American bias"" or ""anti-American sentiment"".",None specified,https://legiscan.com/OK/text/SB614/id/2447707/Oklahoma-2022-SB614-Amended.pdf,https://legiscan.com/OK/bill/SB614/2022,0,1,0,0,0,0,0,0,0,0,0
Oklahoma,SB 1141,2022-02-07,Pending,Sen. Ron Standridge (R),"Bars public colleges and universities from requiring students to enroll in any course that ""addresses any form of gender, sexual, or racial diversity, equality, or inclusion curriculum."" No course required as part of a student's major may include certain ideas related to race or sex.",None specified,https://legiscan.com/OK/text/SB1141/id/2460101/Oklahoma-2022-SB1141-Introduced.pdf,https://legiscan.com/OK/bill/SB1141/2022,0,1,0,0,0,0,0,0,0,0,0
Oklahoma,SB 1401,2022-02-07,Pending,Sen. Rob Standridge (R),"Bars K-12 schools and junior and technical colleges from employing or contracting with any individual who ""introduces and teaches related to Critical Race Theory."" ","Private right of action
Professional discipline",https://legiscan.com/OK/text/SB1401/id/2482381/Oklahoma-2022-SB1401-Introduced.pdf,https://legiscan.com/OK/bill/SB1401/2022,1,1,0,0,0,0,0,0,0,0,0
Oklahoma,HB 2988,2022-02-07,Pending,Rep. Jim Olsen (R),Bars public schools from including in their curricula the 1619 Project or related ideas about the history of slavery in America.,Monetary penalty/Loss of state financial support,http://webserver1.lsb.state.ok.us/cf_pdf/2021-22%20INT/hB/HB2988%20INT.PDF,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB2988&Session=2200,1,1,0,0,0,0,0,0,0,0,0
Pennsylvania ,HB 1532,2022-02-08,Pending,Rep. Russ Diamond (R),"Bars communications from state agencies, school districts, or public universities that ""adopt, express or promote any racist or sexist concept."" Bars punishment for public employees, contractors, or students for ""refusal to support, believe, endorse, embrace, confess, act upon or otherwise assent to an racist or sexist concept."" Bars teachers and professors from ""teach[ing], advocat[ing] or encourag[ing] the adoption of a racist or sexist concept while instructing students."" Bans schools and universities from ""host[ing], pay[ing] or provid[ing] a venue for a speaker who espouses, advocates or promotes any racist or sexist concept."" Bans contractors from engaging workplace training that teaches such concepts.","Private right of action
Monetary penalty/Loss of state financial support
Ineligibility for state contracts",https://legiscan.com/PA/text/HB1532/id/2412593/Pennsylvania-2021-HB1532-Introduced.pdf,https://legiscan.com/PA/bill/HB1532/2021,1,1,0,1,0,0,1,0,0,0,0
South Carolina,H 4325,2021-05-04,Pending,Rep. Steven Wayne Long (R),"Bans public schools and institutions of higher learning from ""direct[ing] or otherwise compel[ling] students to personally affirm, adopt, or adhere to the tenets of critical race theory; or introduc[ing] a course of instruction or unit of study"" to do such.",None specified,https://www.scstatehouse.gov/sess124_2021-2022/bills/4325.htm,https://www.scstatehouse.gov/billsearch.php?billnumbers=4325&session=124&summary=B,1,1,0,0,0,0,0,0,0,0,0
South Carolina,H 4605,2022-01-11,Pending,"Reps. Linda Bennett, James Burns, Cally Forrest, Joseph Bustos (R)","Bans any state-funded entity from promoting, engaging, or treating individuals in accordance with certain discriminatory concepts. Bars educators from suggesting or requiring completion of any ""instruction, presentations, discussions, or counseling"" that affirms the discriminatory concepts. Forbids educators from subjecting minors to certain ""controversial and age-inapprorpiate topics"" and regulates the manner in which instruction may be conducted.","Monetary penalty/Loss of state financial support
Loss of tax exemption status or any other state accommodation
Loss of state contract",https://legiscan.com/SC/text/H4605/id/2450490/South_Carolina-2021-H4605-Introduced.html,https://www.scstatehouse.gov/billsearch.php?billnumbers=4605&session=124&summary=B,1,1,0,1,0,0,1,1,0,0,0
South Carolina,HB 4799,2022-01-13,Pending,Rep. Robert May (R),"Bans K-12 schools and colleges from teaching, including in curricula, or compelling students to adopt or affirm certain ideas about American history, race, sex, or other characteristics. These institutions are also prohibited from requiring or encouraging employees to attend workshops or training where such ideas are promoted. Prohibits K-12 schools from including or promoting the 1619 Project. ",Monetary penalty/Loss of state financial support,https://legiscan.com/SC/text/H4799/id/2477323/South_Carolina-2021-H4799-Introduced.html,https://legiscan.com/SC/bill/H4799/2021,1,1,0,0,1,0,0,0,1,0,0
South Dakota,HB 1012,2022-01-11,Pending,Gov. Kristi Noem (R),"Bans public K-12 and colleges from compelling students to adopt or affirm certain ideas related to race, sex, and other characteristics, nor engage in any instruction that ""results in a student being distinguished or classified on the account of race or color.""",None specified,https://legiscan.com/SD/text/HB1012/id/2464760/South_Dakota-2022-HB1012-Introduced.pdf,https://legiscan.com/SD/bill/HB1012/2022,1,1,0,0,0,0,0,0,0,0,0
South Dakota,HB 1309,2022-02-04,Pending,Rep. Sue Lucas-Peterson (R),"Prohibits K-12 and public colleges from soliciting from individuals, as a condition of admission, employment, retention, promotion, or tenure, their commitment to certain ideas related to diversity, racism, gender, sexuality, or American society.",None specified,https://legiscan.com/SD/text/HB1309/id/2502273/South_Dakota-2022-HB1309-Introduced.pdf,https://legiscan.com/SD/bill/HB1309/2022,1,1,0,0,0,0,0,0,0,0,0
Tennessee ,SB 2290/HB 2670,2022-02-01,Pending,Sen. Mike Bell (R),"Bans public colleges and universities from including certain ideas related to race and sex in any ""seminars, workshops, trainings, and orientations."" Campus diversity initiatives must include the promotion of intellectual diversity.",None specified,https://legiscan.com/TN/text/SB2290/id/2500729/Tennessee-2021-SB2290-Draft.pdf,https://legiscan.com/TN/bill/SB2290/2021,0,1,0,0,0,0,0,0,0,0,0
Tennessee ,HB 2313/SB 2298,2022-02-01,Pending,Rep. Bruce Griffey (R),"Bars any private individual, organization, or association that receives a tax exemption under federal law, is a non-profit, or that receives funding from the state from requiring ""an individual, employee, or applicant for employment to complete or participate in training, orientation, or any other instructional or informational program that promotes"" certain ideas related to race or sex.",Private right of action,https://legiscan.com/TN/text/HB2313/id/2500053/Tennessee-2021-HB2313-Draft.pdf,https://legiscan.com/TN/bill/HB2313/2021,1,1,0,0,0,0,0,0,0,1,1
Tennessee ,HB 2417/SB 2283,2022-02-01,Pending,Rep. Robin Smith (R),"Bars public colleges and universities from requiring teachers or students to discuss public policy issues, nor to adopt or affirm certain ideas related to race, ethnicity, color, or national origin.",Private right of action,https://legiscan.com/TN/text/HB2417/id/2500749/Tennessee-2021-HB2417-Draft.pdf,https://legiscan.com/TN/bill/HB2417/2021,0,1,0,0,0,0,0,0,0,0,0
West Virginia,HB 2595,2021-02-18,Pending,Del. Riley Keaton (R),Prohibits contractors from inculcating employees in race or sex stereotyping or scapegoating. Bars use of divisive concepts in schools. Prohibits funding for state agencies promoting divisive concepts.,None specified,https://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=HB2595%20INTR.htm&yr=2021&sesstype=RS&i=2595,https://legiscan.com/WV/bill/HB2595/2022,1,0,0,1,1,0,0,0,0,0,0
West Virginia,SB 45,2022-01-12,Pending,Sen. Robert Karnes (R),"Bars K-12 schools, state agencies, and state contractors from using materials that promote certain ideas related to race or sex.",None specified,https://legiscan.com/WV/text/SB45/id/2472255/West_Virginia-2022-SB45-Introduced.html,https://legiscan.com/WV/bill/SB45/2022,1,0,0,1,1,0,0,0,0,0,0
West Virginia,SB 498,2022-01-28,Pending,Sen. Patricia Rucker (R),"Prohibits K-12 and public colleges from including or requiring of students the adoption or affirmation of certain concepts related to race, sex, or ethnicity.",Private right of action,https://legiscan.com/WV/text/SB498/id/2495131/West_Virginia-2022-SB498-Introduced.html,https://legiscan.com/WV/text/SB498/id/2495131/West_Virginia-2022-SB498-Introduced.html,1,1,0,0,0,0,0,0,0,0,0
Wisconsin,SB 409/AB 413,2021-06-10,Pending,"Sens. André Jacque, Stephen Nass (R)",Prohibits public universities and colleges from teaching race or sex stereotyping. Requires course syllabi to be posted on institution's website. Bans requiring employees to attend trainings promoting race or sex stereotyping.,"Private right of action
Monetary penalty/Loss of state financial support",https://docs.legis.wisconsin.gov/2021/related/proposals/sb409,https://legiscan.com/WI/bill/SB409/2021,0,1,0,0,0,0,0,0,0,0,0
Wyoming,SB 103,2022-02-15,Pending,Rep. Bill Fortner (R),"Bars public K-12 and colleges from offering instruction in ""American institutions and ideals"" that includes ""critical race theory"" or ""critical theory"", which are described as social philosophies that inflame tensions on the basis of race, sex, and other charateristics.",None specified,https://legiscan.com/WY/text/SF0103/id/2517299/Wyoming-2022-SF0103-Introduced.pdf,https://legiscan.com/WY/bill/SF0103/2022,1,1,0,0,0,0,0,0,0,0,0
