librarian_comments,region,locality,elementary_school,middle_school,high_school
"I look through School Library Journal, Titlewave - checking the reviews (Kirkus and others) and the BTOL site for their grading of where the book should be. And when really in doubt, I read the book first.",Northeast,Suburban,0,1,0
"I often look at book reviews like SLJ to see what age level they recommend. If all reviews list about the same age, which they often do, then I will use that to help me to determine whether or not it is appropriate for the age I am purchasing for.",Midwest,Rural,1,1,1
I read 3-4 reviews on the book. Most include an age range for the book. I service a Junior high school ages ranging from 11-14. I have pushed the limit if I have read the book and deem it appropriate for my students. I tend to buy books that are appropriate for grades 5-9.,Pacific,Suburban,0,1,0
"I read as many reviews as I can find and if I have questions after that, I use CommonSense Media to ferret out specifics. I also rely on my knowledge of the community in which I live, work, and parented. It's one and the same.",Northeast,Small Town,1,1,0
I read as many reviews as possible to determine the suggested audience.,Mountain,Suburban,0,0,1
I read at least three different book reviews.,Midwest,Small Town,1,1,1
"I read book reviews from School Library Journal, The Horn Book, etc.",Mountain,Urban,0,0,1
"I read book reviews from SLJ, Titlewave, Kirkus. If I am still not sure, I read the book.",Midwest,Small Town,1,1,0
"I read book reviews from various sources, or I read the book myself.",South Central,Small Town,1,1,0
I read it! Prior to purchasing I try to read several reviews.,South Central,Rural,0,1,1
"I read it, rely on recommendations of other professionals in similar school settings, and use review sources like SLJ or children's literature databases.",South Atlantic,Suburban,1,1,0
I read it. I check reviews from trusted sites. It is an elementary school so no sex allowed! I can have a little leeway on other issues depending on the level of the book.,Mountain,Suburban,1,0,0
I read it. :-) I know my patrons well enough to guide them too.,South Atlantic,Urban,0,0,1
"I read lots of reviews, ask for teacher and student input, AND READ, READ, READ.",Midwest,Suburban,0,1,0
I read multiple reviews. There are very few items I would not buy for my high school library. FIFTY SHADES OF GREY comes to mind as inappropriate.,Northeast,Urban,0,0,1
"I read professional reviews and compare their opinions to what the publisher lists as the age range. If there are discrepancies, or if I am undecided, then I try to read an advance copy from Net Galley, or I will buy an ebook copy for myself and read it before I buy it for the library.",Pacific,Suburban,0,1,0
"I read professional reviews that suggest the appropriate age/grade levels. If they suggest that the material is excessive/graphic in nature and/or for only very mature teens, I will tend to by-pass the book.",Northeast,Rural,0,1,1
"I read professional reviews to see the age-level; if available, I read an ARC.",Pacific,Suburban,0,0,1
"I read reviews (Booklist, SLJ, Kirkus, etc). If the reviews indicate it is age appropriate but I still have doubts, I take the issue to other teachers and our AP.",Northeast,Suburban,1,0,0
I read reviews and also review the book myself.,South Atlantic,Rural,1,0,0
"I read reviews and check vendors online, and chat with colleagues",South Atlantic,Suburban,0,1,0
"I read reviews and look for middle school ratings (5-8). I shy away from most YA books and anything meant for high school. Most of the students who use this school library are in grades 6 and 7, even though we are a 6-8 school.",Northeast,Suburban,0,1,0
"I read reviews and suggested grades/age levels. After reading reviews, I try to determine if the content is appropriate for our middle-school students.",South Atlantic,Rural,0,1,0
"I read reviews and try to look at new books,",Midwest,Suburban,1,0,0
I read reviews but that doesn't always disclose something that may be an issue.,Mountain,Small Town,0,1,0
"I read reviews from magazines and from other purchasers. I also try to preview when possible. I look at the reading and interest level. I also read the summaries on sales listings, watching for subjects that I might find inappropriate for my grade levels.",Northeast,Suburban,1,0,0
"I read reviews from multiple sources like School Library Journal and Hornbook and Publisher's Weekly as a starting point. Then if I am interested in a book but not sure about its appropriateness for middle school, I will read it myself. Since we have a range of readers, I rarely find a book truly inappropriate but go on a personal feeling of what 6th-8th graders are interested in. If a book has strong sexual content, I sometimes pass on it if it seems more like an upper-high school situation.",Pacific,Suburban,0,1,0
"I read reviews from other librarians to see what they think the age range is for the book. For books that I am not sure about, I read the book and decide if the objectionable material is age appropriate and how it fits in with the story. As a middle school librarian, I don't choose books that have gratuitous sex, language, or violence just for the sake of it. If these are used to make the story more realistic, then I take that into account.",Northeast,Urban,0,1,0
"I read reviews from SLJ, Booklist, and other review sources.",Mountain,Small Town,0,0,1
I read reviews in School Library Journal,Northeast,Suburban,0,0,1
"I read reviews of the book from School Library Journal actually. I always look for Booklist, Horn Book and SLJ, but SLJ is the one review that I ALWAYS heavily depend on to let me know if the book is age appropriate and if there is anything ""inappropriate"" or worriesome in the book. SLJ has never let me down in this regard and I very, very much appreciate the reviewers giving the honest reviews they do. I am in a public elementary school library and in spite of what ALA says about censorship, I do use my personal judgement when ordering books for my PreK through 5th grade students. Call it censorship, I choose to call it responsible and well thought out. Thank you, SLJ, I sincerely don't know what I'd do without your reviews when making my book orders.",South Central,Suburban,1,0,0
"I read reviews on different sites including School Library Journal, Library journal review, Publishers' weekly review, Booklist review, Common sense media, Amazon to name a few. I wish there was a more straightforward and faster way of doing it. It is a long process.",Pacific,Suburban,0,1,0
I read reviews on Follett before purchasing. I sometimes look to see if other high schools in my district have a book in their collection before purchasing.,Mountain,Suburban,0,0,1
"I read reviews on titlewave, common sense media, and use AR interest level guidelines.",Northeast,Rural,1,1,0
I read reviews on Titlewave.,Mountain,Urban,0,1,1
I read reviews which typically suggest an audience,Northeast,Small Town,0,1,0
"I read reviews, check AR, read it myself.",South Central,Rural,0,1,1
"I read reviews, check Common Sense Media and go with my gut.",South Atlantic,Suburban,0,0,1
"I read reviews, check various sources, and often look for someone who had read or read it myself.",Pacific,Urban,0,0,1
"I read reviews, if uncertain I read the book.",Pacific,Suburban,0,1,0
"I read reviews. SLJ is my gold standard because those books are reviewed by teen and school librarians rather than professional reviewers. If a book is marked grades 10-12 then I don't purchase it. If it's marked grades 9 and up, I may put it in my Young Adult, 8th Grade only for our 6-8th Middle School.",Midwest,Suburban,0,1,0
"I read School Library Journal, Booklist, etc to get a feel for the content of the book. I also base my decision on their recommendation of grade level.",Midwest,Small Town,0,0,1
"I read summaries on Amazon or other sites. Also, read reviews on sights such as Focus on the Family.",Pacific,Suburban,0,1,0
I read the book.,Midwest,Suburban,1,1,0
I read the reviews listed in Follett and look at the age recommendations and the description of the book.,Pacific,Urban,1,0,0
I read the summary and consider content. I also read reviews and select books with positive reviews. Reviews generally include an age recommendation.,Midwest,Suburban,0,0,1
"I read the summary, and use book reviews to find out the theme of the book. Sometimes I read the entire book before putting it in the elementary check out. Common sense media is helpful, but does not have every book. I wish I had a good resource to inform me of possible issues. I can't read every book.",South Atlantic,Suburban,1,0,0
"I rely heavily on reviewers determination, and their candid, honest assessment of the content, in particular the degree of profanity and sexual content.",Pacific,Small Town,0,1,0
"I rely heavily on School Library Journal's book reviews, but generally try to avoid books that are too young or too adult for high school students.",Midwest,Urban,0,0,1
I rely on 3 to 5 reviews or recommendations. I have been disappointed a couple times this last year in books recommended for my middle school students,South Central,Small Town,0,1,0
"I rely on information found from SLJ, Amazon, and other sites.",Northeast,Small Town,0,1,0
"I rely on recommended age or grade level from professional reviews such as School Library Journal, Kirkus Reviews, Library Media connection, Booklist to name a few.",Northeast,Suburban,1,0,0
"I rely on recommended ages from publishers and reviewers. If I can't find an age range in reviews of YA lit, I either borrow it and read it myself or I don't buy it.",Northeast,Small Town,0,1,0
I rely on reviews of the book to determine the type of content that is included. I also consider the quality of the book and whether the content is gratuitous or essential to the story.,South Central,Suburban,0,1,1
"I rely on SLJ book reviews, and read the books when they come in. I work in a K-8 library, and some books are 6-8 grades only.",Midwest,Suburban,1,1,0
"I rely primarily on the age/grade level recommendations of reviews in School Library Journal, Booklist, or Horn Book. I also use Publisher's Weekly, but to a lesser extent.",Northeast,Rural,1,1,0
"I start with the Reviews (see the previous ""Other"" answer). If I can show a parent, etc. that top reviewers in the field have overwhelmingly rated the book as ""appropriate for Grade 7+"" for example, then nobody can fault me for including it in the middle school collection! When reviews are inconclusive (age recommendations are all over the place) or they're mostly ""Grade 8+"" with a few ""Grade 9+""--right on the bubble-- then I personally get the book from the public library and preview it myself. At that point I'm a little conservative because I know I don't have firm expert opinion to back up my choices, so I look out for too much F-word (although I've allowed it once or twice if warranted) and too much sexual content for middle school (i.e. ""going all the way"")",Midwest,N/A,0,0,0
"I take into account student interest and that we have many different levels of maturity in a 9-12 school. I read reviews, peer recommendations, and award winners.",Pacific,Urban,0,0,1
"I take into consideration publisher's recommendation, reviewers' recommendation and sometimes the relationship of the content to curriculum/standards.",Midwest,Small Town,1,0,0
"I teach elementary school, so generally if there is any mention of physical/sexual contact between characters, I will not order it.",Northeast,Suburban,1,0,0
I think about my students and reflect upon what I learned in my child development classes about cognition and environments. I also talk to other librarians and look at the reviews/suggested age ranges on books.,South Atlantic,Small Town,1,0,0
"I think about the students in my school and their awareness of or exposure to certain issues. If I feel that a book's content deals with issues that my students aren't usually exposed to, I typically don't buy it.",South Atlantic,Rural,1,0,0
"I try to consider the developmental stage of our students. Kids are not adults and may not be ready for certain topics. However, since I am in a high school, most things are within bounds.",South Central,Suburban,0,0,1
I try to read as many of the books as I can especially if I am at all concerned about the appropriateness of the book.,South Central,Suburban,1,1,0
I try to read at least four different reviews and make my decision based on the collective content of those reviews.,Midwest,Small Town,0,1,0
I try to read reviews and if possible the book itself.,Pacific,Suburban,0,1,0
I try to think about what I would want my own children to read and then I act pretty conservatively. I might be more liberal if I was at middle school or high school though instead of elementary school.,Pacific,Suburban,1,1,0
I use age-guidelines from reviews.,Midwest,Rural,0,1,1
I use book review sources for content information as well as recommended reading levels.,South Central,Suburban,0,1,0
I use journals and review articles,Canada,Small Town,1,1,1
I use magazines with book reviews plus just look at book summaries from book companies.,Midwest,N/A,0,0,0
"I use more than one way to determine if it is age appropriate like using various reputable book reviewers, the company that I purchasing from and reading the book myself.",Midwest,Rural,1,1,0
I use my own judgment and also research book reviews,Midwest,Suburban,1,1,0
I use reputable review sources if I haven't read it. I also refer to Common Sense Media if reviewed there. I often read it first to determine appropriateness for my K-5 students.,South Central,Suburban,1,0,0
"I use resources such as the Junior Library Guild, Peer Reviews, and Follett Titlewave for age-appropriate suggestions and then make my determination from that.",South Atlantic,Rural,1,0,0
"I use reviews (like SLJ) to guide, but not dictate my decisions. I use my knowledge of my students and school community to make my final decisions.",Northeast,Suburban,1,0,0
"I use reviews, age of character, book summary and reading level.",Northeast,Suburban,1,0,0
"I use reviews, primarily. If the content makes me wonder, but it fits in our curriculum/guidelines, and the reviews put it at our grade level, then I usually decide it's okay.",South Central,Suburban,1,0,0
I use School Library Journal to double check recommended grade levels. I try to read the book myself if I have a serious concern.,South Atlantic,Suburban,1,0,0
I use selection tools to determine age appropriateness...then I read reviews if I am really unsure.,Midwest,Small Town,0,1,1
I use SLJ and other reviewing resources,Midwest,Small Town,0,1,0
I use the age judgement on the book reviews in SLJ and in Sneak Peak in Alexandria,South Atlantic,N/A,0,0,0
"I usually go by the recommendations of the publisher as well as some reputable book reviewers. If I'm unsure, I read or skim the book myself. In general I think pushing readers outside of their comfort zone is a good thing (within reason).",Canada,Rural,1,1,1
"I usually look at AR Bookfinder to determine the AR level, interest level, and summary to see what the book is about and sometimes I can find out if it has violence, profanity, or sexual content. I am at the middle school level, Grades 6-8 and the developmental stage of a 6th grader is much different than that of an 8th grade student.",South Central,Small Town,0,1,0
I usually look at several reviews and consider those recommendations.,Midwest,Small Town,0,1,1
I usually read book reviews to evaluate age appropriateness of a book that I am considering adding to my collection. I usually trust books from Junior Library Guild.,N/A,Small Town,0,0,1
I usually read it - especially if it is for our middle school library.,Northeast,Suburban,1,1,0
"I usually read it first, or read reviews, or check commonsense media",Northeast,Small Town,1,1,0
I usually use the age guides on the reviews and also look for information about books that have been challenged in other schools.,South Central,Small Town,1,0,0
"I weigh review sources, read the book myself if I am especially concerned, and consider curriculum content. I am also aware from news in general of what kids know, even if adults right around them don't want to admit it. Again, back to ""George"", it is clear that elementary school children can have gender identity concerns and acknowledging this by having well-reviewed material in the library seems important to me.",Pacific,Suburban,1,1,0
"I will not include a book in our middle school collection if it has obvious sexual intercourse. I will also not include books that have extreme profanity. We have some with a few milder words - ""ass"", ""piss"", ""damn"" but nothing beyond that. I also feel that our students are too young to process characters who deal with problems through drug use and suicide but those would be determined by the context in which it is used in the book. Hard core drug use - no, but being with a group of friends who are using and resisting the peer pressure to participate even - yes. It really depends on how it's handled in the book.",South Central,Suburban,0,1,0
I will read the book or ask another teacher on staff to read the book or look for reviews that discuss the age of the book or ask other librarians if they've read it for appropriate content.,South Atlantic,Rural,0,1,0
I work in a high school library in a relatively liberal part of NY. I firmly believe that books are some of the safest places for students to learn about controversial topics. I do look at grade level recommendations on Follett's Titlewave as a guide.,Northeast,Suburban,0,0,1
"I work in a K-4 school library, and I know the children very well. So I find it easy to decide if they will like it or understand it.",Northeast,Suburban,1,0,0
I work in a K-5 Elementary School. I try to check reviews to see what is appropriate. Many reviews give age guidelines and reading level guidelines. Another guideline I learned somewhere is that children like to read about people who are their age or two or three years older. If the characters are much older than 13/14 it is probably not appropriate for our age group.,Northeast,Suburban,1,0,0
I work in an elementary school. So anything that has too much violence or has characters that do more than holding hands are book that i stay away from.,South Central,Urban,1,0,0
"If a fiction book has graphic sexual content, I would not select it for students below 8th grade.",Northeast,Urban,1,1,1
"If fiction, I look at the age of the main characters, if the experiences of the main characters are age appropriate for elementary students.",South Atlantic,Suburban,1,0,0
"If I don't have time to read it, I look at multiple reviews and a text sample. If reviews vary, I am more likely to check out the book first. Also, a wise librarian suggested that I look for characters within 2 years of the target audience.",Northeast,Urban,1,0,0
"If I have a question on something, I ask a teacher or another staff member to review it to verify or help me decide.",Northeast,Suburban,0,0,1
"If I wouldn't want my children to read it, I don't purchase it.",Midwest,Urban,1,0,0
If it deals with subject matter that my students are familiar with and in a manner similar to the way they would.,South Atlantic,Rural,1,0,0
"If it doesn't contain any sexual content, bad language, or mature themes.",South Central,Small Town,0,1,0
If it has minimal swearing and little or no sexual content.,Mountain,Suburban,0,1,1
"If it seems too young, I'll often pass on it. I usually look at the main character's age.",South Central,Small Town,0,0,1
If it was written for their age group and contains topics that are relevant to our students.,South Atlantic,Rural,0,0,1
If reviewers say middle school grade levels than I usually feel it belongs in our library. If it lists 9-12 then I read some additional reviews looking for the reasons for the high school recommendation. Usually I agree. When 8-11 is listed as a recommendation I search out additional reviews for the same reason. Books are becoming more and more sophisticated in subject matter and language these days.,Pacific,Suburban,0,1,0
"If the book has questionable content, I read as many reviews as possible and often, read the books themselves.",Northeast,Suburban,0,1,0
"If the book is about topics that fit into our K-5 curriculum, and is within the reading levels of our students, then I would consider it age-appropriate for nonfiction. It's a little trickier with fiction. Reading level may be fine, but if it contains mature content that I feel isn't appropriate for elementary readers, I usually don't purchase it.",South Atlantic,Suburban,1,0,0
"If the characters are teens or young adults. If the violence, sexual content, or language are a believable part of the story. I also look at review sources and the recommendations of other librarians",Pacific,Small Town,0,0,1
"If the controversial matter is being dealt with by a main character who is more than 1 or 2 years older than the students, I do not purchase it.",Northeast,Rural,1,1,0
"If the first pages are available on Amazon, I read through them to get a feel for the book. I also use Common Sense Media's Best Books for Kids website.",Pacific,Suburban,1,1,1
"If there is a question, I consult multiple reviewing tools. I also have the opportunity to consult with the Cooperative Children's Book Center.",Midwest,Urban,0,0,1
"I'm a K-12 librarian with only one location, so I'm constantly thinking about age appropriateness and where to put certain titles in my library.",Midwest,N/A,0,0,0
"I'm mostly looking at interest and vocabulary. I work in a high school, so I'm more likely to reject a book as age-inappropriate if it is too juvenile.",Midwest,Suburban,0,0,1
"In fiction, I go by several factors such as age of protagonist, suggested audience level per reviews, type of conflict/experiences in the plot.",Mountain,Small Town,1,0,0
"In our district, we use professional reviews from resources such as your journal as a factor to determining selection of materials. Our county policy states that a book must have two positive reviews to be considered for purchase. We also have a team of librarians who read and write reviews ""in house"". Those books are put in a preview center for librarians to peruse. I don't purchase anything without reading it or having a fellow colleague read it.",South Atlantic,Suburban,1,0,0
"Interest and grade level designations from book review journals, online sources, and book supplier sites.",Northeast,Urban,1,1,0
"It is certainly a fluid process, but based in heart on a knowledge of my students and their changing culture. I refer to reviews for age range guidelines, though they are not always consistent. I do have certain strict standards (k-6 school) and will only check out those books purchased for our 6th YA population to other students with a parent note.",Northeast,Rural,1,1,0
"It was more difficult when I started. I have a 6-8 library that is shared with a 9-12 library (different librarians who purchase for own collection). 6th grade is pretty young, but we do have the option of making something YA, then 8th graders can still check it out from the HS side.",Midwest,Suburban,0,1,1
"Journal reviews, recommendations from other librarians, students, teachers",Northeast,Suburban,0,0,1
"Journeyed review, student and teacher recommendations, my own reading of a book",Midwest,Small Town,0,1,0
Knowledge of child development and the children in our school community.,Midwest,Suburban,1,1,1
Lean on the experts...read reviews,South Central,Small Town,0,0,1
"Level of detail in sex scenes, amount of graphic violence,",South Atlantic,Rural,0,1,0
Lexile range and content,Northeast,Suburban,0,0,1
"Lexile, writing style, language, content",South Central,Urban,1,1,1
Library Journal and other reviews. School curriculum.,Mountain,Suburban,1,0,0
"look at age level on titlewave, amazon, ... check to see if it contains mature content, e.g. sex on page, every other word is f***. read the book myself.",Pacific,Suburban,0,1,0
Look at book reviews for recommended age/grade level and/or read the book myself.,Mountain,Urban,0,0,1
"look at intended age range, read as many reviews as possible",South Central,Small Town,0,1,0
"Look at publisher information and also reviews from industry leaders such as Booklist, School Library Journal, Horn Book...also it is important to know your patrons and have a collection development policy.",South Atlantic,Suburban,0,0,1
Look at reviews from book vendors,Pacific,Rural,1,0,1
"Look at reviews, read the book, check the content",Midwest,Urban,0,0,1
"look at the journal recommendation, read the book",South Atlantic,Suburban,1,1,0
"Look at the target audience, reviews (SLJ, Resource Links, Quill and Quire, CommonSenseMedia.org etc.), seek out teacher feedback, test read with select student group.",Canada,Urban,0,0,1
Look up reviews of the material and check to see what ages the publisher recommends.,South Central,Rural,1,0,0
Looking at several review sources and reading it myself if necessary.,Midwest,Suburban,0,1,0
"Looking at summaries of books to see if characters are of the same age, looking at reviews and listed grade levels, looking at subject tags",South Central,Rural,0,0,1
"Looking at the content, are our kids at that stage of life? Will they understand what the book is really about?",Pacific,Suburban,1,1,0
Main characters are the same age as the students I teach.,South Central,Suburban,1,1,0
"Mainly reviews, sometimes input from other teachers",Northeast,Suburban,0,1,0
