librarian_comments,region,locality,elementary_school,middle_school,high_school
Mainly through reviews from journals,Northeast,Rural,0,0,1
"Major review sources: School Library Journal, Kirkus, CCBC, book review blogs by children's literature professionals",Midwest,Urban,1,1,0
"Many factors involved, but a couple are Is this actually an ""adult"" book? What kind of graphics/pictures are included? What else do we already have in the collection on this topic? Are there alternative choices that fill the gap, but are less controversial? etc.",Midwest,Rural,0,0,1
maturity of the content and age of main protagonist,Midwest,Rural,0,1,1
"Maturity of the students, and how I feel that could handle a particular subject.",South Atlantic,Small Town,0,1,0
Most often by the publisher's recommendation and also based on reviews.,Pacific,Rural,0,1,1
"Mostly I go by age of protagonist. Complexity of the text, Suggested grade level in SLJ. I do not trust publisher age recommendations. The range is generally too broad, in my opinion. Is the controversial point a big part of the book or an isolated incident? I try to read books that are controversial myself, to better judge the content.",South Central,Suburban,1,1,1
Mostly rely on reviews from various sources.,Midwest,Rural,1,1,1
"Mostly rely on the reviews from vendors such as titlewave, and web cites, blogs, and reading the books.",South Central,Urban,0,1,1
Mostly reviews,Northeast,Small Town,0,1,1
My library services kindergarten thru 8th grade. I try to purchase book that have main characters who are also in this same age range. I also rely heavily on the age/grade recommendations given in SLJ reviews.,Midwest,Small Town,1,1,0
My most trusted source of age recommendation is SLJ reviews. I serve at a K-8. I pay close attention and usually follow the reviewer's advice when he/she says grades 9 and up I usually do not order it--unless I know the book and feel it fits our community anyway.,Pacific,Suburban,1,1,0
"my opinion and if necessary book reviews by Amazon, SLJ, PW",Northeast,Suburban,1,1,0
"My own judgement/experience; professional book reviews (SLJ, Kirkus, Common Sense Media); recommendation of classroom teachers.",Northeast,Rural,1,1,0
My school serves Pre-Kindergarten to 3rd grade so the books really need to reflect the expectations and rules of our school.,Northeast,Suburban,1,0,0
no,Northeast,Suburban,1,0,0
"NovelList guidelines and professional reviews: Booklist, SLJ, Hornbook etc. If it is not an adult for YA it is more likely to have adult content not appropriate for the high school audience. It is also more likely to have adult protagonists who the high school students feel less connected to.",Pacific,Small Town,0,0,1
"Of course I look at reviews and distributors recommendations. Then, I think I use gut instinct. Sometimes I see a book as for a younger audience, but rarely for an older audience.",South Central,Urban,1,1,0
"Often by reading reviews and looking at suggested age range. Sometimes read book myself. Sexual content and language are often determining factors plus maturity of content, reading level.",South Atlantic,Suburban,1,1,0
"Often the age of the main character is a key factor. I sometimes avoid books about high schoolers since I am buying for elementary aged kids. I also read as many reviews as possible, noting reading level and the age level book is geared toward. Sometimes i ask other librarians their opinion, or quickly scan a book's content if I am purchasing it at a bookstore.",Midwest,Suburban,1,0,0
"On a case by case basis. I wanted a book about Malala that would be appropriate for 2nd graders. I purchased the double book-Iqbal and Malala. When I read the section about how she was shot, I decided the book might be too frightening for 2nd graders and passed it along to a school with higher grades. I usually try to read any books on possibly controversial topics.",Northeast,Suburban,1,0,0
"Our school community and students are fairly conservative so gritty urban tales don't get checked out even if they are the shelves. I try to chose diverse title selections but avoid explicit sexual detail, horrific violence, and stories that glorify unhealthy practices.",Pacific,Suburban,0,1,0
"Our system requires 2 positive professional reviews. I will follow those and if I am still uncertain, I will read the book myself or ask another teacher or two to read the book.",South Atlantic,Suburban,0,1,0
"Part of it is reading level, of course, but a larger part is thinking of the entire community I serve. Since mine is a PS-5 school I have to ask myself ""if a 5th-grader checked this out would I worry?"" But then I also have to ask myself ""if a 3rd-grader checked it out would I worry?"" If the answer is no to the first and yes to the second I have to pause. Since we have open shelves and I have virtually no library budget I cannot afford to spend book fair earnings and grant money on books that aren't appropriate for the widest range of kids I serve. I review a lot of books and typically send books up to the middle school that I know won't fit my kids down here, knowing that my students will have access to that material when they hit middle school and it is a better fit. Sometimes I send things up to the high school they are truly YA with the same thought. I read every single book before it goes on my library shelves and there are things on the shelves that I don't agree with, and that have the occasional profanity (hey, you gotta have Gary Paulsen, right?) If the content of the book is valuable enough I will still put those books on the shelves and will fight for their retention in the collection. If the author is just trying to be controversial for controversy's sake find another forum. I don't have the money to waste on that.",Pacific,Suburban,1,0,0
"Personal ideals, our district does not have standards set.",Midwest,Rural,0,1,1
Personal judgement based on 25 years plus experience in elementary education and being a mother to 2 sons.,South Atlantic,Small Town,1,0,0
Primarily based on reviews by respected sources,South Central,Small Town,0,1,0
"Primarily by the age of the main characters and their actions. I work in a K-8 school, so if a book seems more directed to high school, I am more prone to skip purchasing it. I also read reviews and depend on SLJ to point in the right direction.",Pacific,Suburban,1,1,0
Professional review sources and/or first-hand knowledge when available (myself or another whose opinion I trust),Midwest,Rural,0,1,1
Professional reviews,Northeast,Suburban,0,1,0
Professional reviews,Midwest,Rural,0,1,1
"Professional reviews or if I or a teacher, student, or parent has read it. They know the culture of the school very well and are able to deem it ""appropriate"" or not.",Northeast,Urban,1,1,0
"Professional reviews, opinions of other school librarians.",Midwest,Urban,0,1,0
"professional reviews, previewing the book myself",South Central,Suburban,0,1,0
"Professional reviews, reading it myself--as time permits",Midwest,Suburban,0,1,0
"Professional reviews, use my own judgement, confer with colleagues.",South Central,Suburban,0,1,0
"Professional reviews, volunteer readers, read myself. First the book must be of interest to high schoolers, and then we think about age appropriateness.",Mountain,Small Town,0,0,1
"ratings by publishers, book reviews",Northeast,Suburban,0,1,0
Read as many reviews as I can find. Search public libraries to see where they have cataloged titles. Ask students who have read the title. Read the title myself.,Midwest,Suburban,0,1,0
Read it,South Atlantic,Suburban,1,1,0
Read it.,Midwest,Suburban,1,0,0
Read it. Read reviews.,Midwest,Suburban,0,1,0
Read journal reviews and read the book myself to gauge age level.,Pacific,Urban,0,0,1
"Read review articles, read the book.",Mountain,Suburban,0,0,1
"Read review, Read it myself, have principal read the book for final approval.",Pacific,Suburban,0,1,0
read reviews,Northeast,Suburban,0,0,1
Read reviews,Midwest,Suburban,0,0,1
"Read reviews and if still unsure, read book.",Pacific,Rural,1,1,0
Read reviews from school library journal and my own judgement,N/A,Suburban,1,1,0
Read reviews from several sources.,Northeast,Suburban,0,1,0
Read reviews in Horn Book and other journals. Talk to teachers and parents.,Pacific,Urban,1,1,0
"Read reviews, check bookfinder and other sites for specific content",Midwest,Rural,1,1,1
"Read reviews, look on Title -wave to determine the age recommendation and/or lexile level. Read the book myself. Ask for recommendations from teachers who may have read the book.",Mountain,Suburban,1,1,0
"Read reviews, professional and other.",South Atlantic,Small Town,0,1,0
"Read reviews, read book and do my own professional evaluation, consider the students I have and if it is something that would interest them AND for them to understand at their age.",South Central,Suburban,1,1,0
"Read reviews, read excerpts, check to see if another high school library in the district has the same book.",South Atlantic,Suburban,0,0,1
Read reviews. Check with other school libraries. Ultimately I use my professional judgement.,Northeast,Suburban,1,0,0
Read reviews. See if it is classified as YA or Adult.,South Atlantic,Rural,0,0,1
Read reviews; I ask myself if the content is something that is commonplace to most teenagers,South Atlantic,Rural,0,0,1
Read the book in question,South Central,Urban,1,1,0
Read the reviews and then read the books before I put them on the shelf.,South Atlantic,Suburban,1,0,0
Read the text and look at the illustrations/pictures,Midwest,Urban,1,0,0
Read various reviews on a title,South Central,Urban,0,1,0
Reading and interest levels; maturity of content,Midwest,Urban,1,1,0
Reading level to some extent plus topics that the school community considers inappropriate such as dating and romantic issues. Where needed I guide young students away from mature-reader books or place those in the separate middle-school library.,South Atlantic,Urban,1,1,0
Reading level topic,Northeast,Suburban,0,0,1
Reading levels and recommended age from publishers.,South Central,Urban,1,0,0
Reading levels and reviews,Pacific,Urban,1,1,0
Reading reviews - viewing the material firsthand,Northeast,Suburban,0,1,1
"Reading reviews , using Follett Destiny and Titlewave.",Northeast,Suburban,1,0,0
Reading reviews regarding subject matter or reading the book myself.,Mountain,Urban,1,1,0
"Reading reviews such as those in SLJ, knowing the author.",Northeast,Suburban,0,0,1
Reading reviews with suggestions for age.,Northeast,Suburban,1,0,0
"Reading reviews, reading book itself",Midwest,Small Town,1,0,0
"Reading reviews, reading the book, talking to students, talking to other librarians, considering how the book is cataloged at other libraries or how it is marketed at bookstores.",South Atlantic,Suburban,1,1,0
"Reading reviews, reading the book, understanding my students",Northeast,Suburban,1,1,0
"Reading reviews. If a school review (SLJ) recommends for grades 9 and up, it will not be purchased for MS.",Midwest,Rural,0,0,1
"reading the book, book review recommendations, publisher recommendations",Northeast,Suburban,1,1,0
"Recommendations from critics, periodicals, and my own opinions.",Midwest,Suburban,1,0,0
"Recommended age groups; JLG; Kirkus, SLJ",South Atlantic,Small Town,1,0,0
Recommended ages and grade levels listed in reviews. If they differ I go with the lowest age or grade recommended.,Northeast,Rural,1,1,0
"Recommended ages, genre categories",South Central,Small Town,0,0,1
"Refer through the Accelerated Reader reading level and age appropriateness guidance it gives. If in doubt still, I will read the book myself before making a decision.",Mountain,Urban,1,1,0
Relying on reviews and my own professional experience,Northeast,Urban,1,0,0
Review journals,South Central,Suburban,0,1,0
"Review journals, online reviews",Midwest,Suburban,1,1,0
"Review sources: School Library Journal, CommonSenseMedia.or, AR BookFinder",South Central,Small Town,0,1,1
Reviews,South Central,Suburban,1,0,0
reviews,Northeast,Urban,1,1,0
Reviews,South Central,Suburban,0,1,0
Reviews,South Central,Urban,1,1,0
Reviews,Northeast,Suburban,1,1,0
Reviews and hands on evaluation.,South Central,Suburban,0,1,0
Reviews and personal observation,Pacific,Suburban,1,0,0
Reviews and sometime reading the text,Mountain,Rural,0,1,1
"Reviews from more than one source, and gut reaction to content.",Midwest,Rural,0,1,0
Reviews from multiple sources. Age of characters.,Midwest,Suburban,0,1,0
"Reviews from multiple sources: SLJ, Booklist, Hornbook. AND I also read many, many books to determine for myself",Midwest,Suburban,1,0,0
"Reviews from School Library Journal, VOYA and other professional children's book reviewers. If a book is on the edge, I will try to obtain a copy from another library or borrow it from someone and read it before putting it into the collection. Also, if a book is on the edge, I take into consideration our community's views regarding controversial subjects and if the book is of significant literary (or other) merit.",Mountain,Suburban,0,1,0
Reviews in library journals,South Central,Rural,0,1,0
"Reviews in professional journals- School Library Journal, Kirkus, Horn Book, etc. If they all or the majority say the level is high school, then I avoid purchasing that book for my middle school. If the journals have varying levels listed, then I read the book before purchasing.",South Central,Urban,1,1,0
"Reviews in SLJ, Voya and online",Northeast,Rural,0,0,1
"Reviews like Horn Book, SLJ, if I still can't tell I will attempt to preview the book or put it out on the PSLA listserve for networking support from within our state and local community of school librarians.",Northeast,Suburban,1,1,0
Reviews mostly.,Pacific,Small Town,1,1,0
"Reviews mostly. Sometimes I get the book from the public library and read it myself to decide. If characters are older, sexually active, drinking, using drugs, I pass. I have grades k-8.",Midwest,Urban,1,1,0
Reviews my school population guidelines by vendors peer reviews in journals,Northeast,Urban,0,1,1
Reviews or by reading it myself and then using my judgement,Midwest,Suburban,0,0,1
Reviews posted on Follett Titlewave.,South Atlantic,Small Town,0,1,0
Reviews that tell me if book is for teens or adult book for teens. Books have to have been reviewed in a school level library journal and not be a negative one.,South Atlantic,Rural,0,0,1
"Reviews, blogs from other librarians, reading the actual book myself before ordering it.",Northeast,Urban,1,1,1
"Reviews, Book Summaries, Reviewers and Vendors Interest Level recommendations, when in doubt, I read the book.",South Central,Suburban,1,0,0
"Reviews, content. How an issue is presented. The amount of detail.",Mountain,Urban,0,1,1
"Reviews, conversations with colleagues, and my own response to the book.",Northeast,Suburban,0,1,0
"Reviews, descriptions, recommendations, publisher suggestions.",South Atlantic,Rural,1,0,0
"reviews, lists, and vendors recommended age level",South Central,Urban,1,0,0
"Reviews, reading it, talk to other librarians.",Northeast,Suburban,0,0,1
"Reviews, reading, previous books by authors, poll of fellow high school librarians.",N/A,Suburban,0,0,1
"reviews, recommendations from peers, age level set by the publisher, reading it myself",Midwest,Suburban,1,0,0
"reviews, sometimes I read it myself",South Atlantic,Small Town,0,1,0
"Reviews. Age appropriateness, as set by School Library Journal and other reviewers.",Pacific,Rural,1,0,0
Reviews. Familiarity with the publisher and author.,Northeast,Suburban,0,0,1
"Reviews; use of strong language, detail of sexual, violent, crime content; illustrations that students may not handle in a mature manner",Midwest,Rural,1,1,1
Scan the internet for title reviews,Northeast,Suburban,0,1,0
"School Library Journal, Booklist, and if I have read it personally.",South Central,Suburban,0,1,0
"Several different ways. Reading myself, using Renaissance Learnings interest leveling, reviews, etc.",South Central,Small Town,1,0,0
"Since I work in an elementary school, I would not purchase a book with sexual content, drug use, violence or most things controversial. I do not purchase books about the reproductive system or sex education, since that is covered in Family Life Education classes.",South Atlantic,Suburban,1,1,0
"Since I work with elementary students only, I do not acquire material using offensive language, detailing sexual encounters, or glorifying the use of alcohol or leisure drugs. I also consult the school district's psychologists to check on books including suicide.",Canada,Suburban,1,1,0
"Situations are age appropriate, language is at a level they can understand, that there is no gratuitous sex, vulgar language or violence. The what happens in the book is realistic to the subject matter.",Canada,Urban,1,1,0
"SLJ and other reviews and age recommendation of the publisher. Teacher recommendations, online blogs about using certain books in specific lessons, personally reading the book.",Pacific,Urban,1,1,0
Some aspect of the story and/or situation has to be relate able to the ages being served in the school.,Northeast,Small Town,0,1,0
"strictly a judgement call, based on who our students (K-5) are, where they are maturity-wise and how they process information. I also do buy books that I will allow older students to check out but not younger students.",Pacific,Suburban,1,0,0
Students will request many titles. I will ask them if they think that it is appropriate for the middle school library. They are usually honest. Reliable book review journals and websites help in the decision.,Midwest,Small Town,0,1,0
Subject matter,South Atlantic,Rural,0,1,0
Subject matter appropriate for K-4 grade. Also reading reviews,Northeast,Small Town,1,0,0
"Subject matter, book reviews, lexile rating",Northeast,Small Town,0,1,0
"Subject matter, language, trusted book reviews",Northeast,Small Town,1,1,0
"Subject matter, reading level.",Northeast,Suburban,0,0,1
"Subject matter, reviews from a variety of librarian magazines or journals.",Northeast,Suburban,0,1,0
"Subject matter, vocabulary, characters in novels, explanatory nature, etc.",Northeast,Suburban,0,0,1
Suggestions made by reviewers and personal opinion based on summaries and reviews.,South Central,Urban,0,1,0
The age and behavior of the books main characters and the reading level. If the book is about adults I usually don't purchase it regardless of the reading level.,South Central,Rural,0,0,1
The age of the characters is often a consideration: adult characters dealing with adult situations may not be appropriate.,Northeast,Small Town,0,0,1
The age of the main characters.,Northeast,Suburban,0,1,0
"The best way to determine is to read it myself; however, it is not possible for me to read every book--so, I look at a lot of reviews.",Mountain,Suburban,0,0,1
"The first factor is the rating with any review I may read. After that, it's just a matter of feeling out the tricky space where pre-teens exist, and balancing what they want with what they can handle.",Northeast,Suburban,1,0,0
The level designated on the jobber site. Read selections of the book. Reviews are not as reliable as they had previously been.,South Central,Small Town,0,0,1
"The reading level and the content. Language, sexual situations, drug or alcohol usage",Pacific,Suburban,1,0,0
"The reading level, the grade level and potentially sensitive areas put out by the sellers.",Midwest,Small Town,0,1,0
The recommendations from book reviews.,Pacific,Small Town,0,0,1
"This is such a dilemma for me as my age group spans from immature 6th grader to mature 8th grader. I read the reviews provided by Follett's Titlewave, and for the most part, try to stick with known authors, and award winners. I farm out some titles to teachers who are willing to read and give feedback. Sometimes I check out a website called Common Sense Media for their comments. With such a small budget, we are forced to rely on books earned through the annual Scholastic Book Fair. I have to count on their reputation to make good choices for us. After all this, I purchase, and say a little prayer!",Midwest,Rural,0,1,0
"This is very difficult for a high school as ages span teens into early adulthood (18). I try to have a broad selection that span in appeal, topics, and difficulty to address the needs/wants of all my patrons.",Midwest,Suburban,0,0,1
"To determine if a book is age appropriate I will look at the suggested interest level, reading level, read the synopsis of the book, and look for reviews. I also check to see if any of the other schools in my district own this book and at what level - elementary, middle, or high school.",Northeast,Suburban,1,0,0
Topic and depth of descriptive narrative,South Central,Small Town,0,0,1
"Topic, age of main characters, choices made by characters, how explicit sex/violence is, amount of profanity and to what degree",Northeast,Suburban,0,1,0
Topics brought up in the book/story ... are they relevant to the age range at my school?,Mountain,Urban,0,1,0
"try and read reviews, especially what non-professionals say about a book, such as those on amazon, and goodreads.",South Central,Urban,0,0,1
Try to check to recommended age/interest level on at least a couple of websites.,Midwest,Rural,1,1,0
Typically from book reviews and/or ask someone who has read it,Midwest,Suburban,0,0,1
"Use multiple book reviews, actually read books that might be border-line ""too-old"" such as books marketed to adults. I work at a middle school",Pacific,Urban,0,1,0
Use of book reviews and reading the book,Northeast,Small Town,0,1,1
"Use reviews, personal recommendations or concerns from colleagues, read it myself.",Northeast,Suburban,1,0,0
Use SLJ or similar texts look at reading levels and recommended age level etc.,Midwest,Suburban,1,0,0
Use the professional reviewers recommendations,South Atlantic,Urban,1,1,0
Using book reviews in SLJ and in Sneak Peek in Alexandria,South Atlantic,Suburban,1,1,0
Using respected reviews from School Library Journal and Horn Book.,Northeast,Suburban,1,0,0
Usually by use of strong vulgar language and sexual content,Northeast,Small Town,1,1,0
"Usually, reviews or by reading the book myself.",Northeast,Small Town,1,1,0
Utilize multiple resources/reviews.,South Atlantic,Suburban,0,1,0
"Various reviews, summaries, and subject matter.",Canada,Suburban,1,1,1
"very specific to the students at my school content, descriptions, illustrations, language often will read the book and not rely on reviews and blurbs",South Central,Suburban,1,1,0
"We begin with peer reviews, then go to authors' notes & comments and young adults' reviews. When we're not sure we try to read the book ahead of purchase but may purchase then read the book and make a final determination based on our own knowledge of our student population & community.",Pacific,Urban,0,0,1
We look at the reviews and at the content. We are a middle school that serves grades 7-9. Are students read beyond their years often with the encouragement of their parents. I would say that the content that stops us the most if it the sexuality is over the top for this age group. We recently decided against a few graphic novels because of the inference to rape and the full frontal nudity which is even more impactful in a graphic novel. We take controversial issues under consideration when it is overtly biased and/or there is not a representation of the other side.,Pacific,Urban,0,1,1
"Weighing one or a variety of the following: professional reviews, my own reading of the material, comparison with our current collection, popularity among our patron population, asking the opinion of patrons who have read the material",Midwest,Suburban,1,1,0
"Well, since I have only 'non-selected' two books in my eight years here, I obviously interpret age appropriateness quite broadly. Among our 11- to 14-year-old students, we have enormously wide reading and interest level ranges, so I feel that pretty much gives me carte blanche to select as broadly as fits our students' diverse needs. I feel a strong responsibility to represent as many interests, levels, groups, cultures, minorities, genders, sexualities, etc. as possible and try to do so while roughly following the bell curve of popular interest books. Funny story: we have a strong collection of books about sex including ""How Sex Works"", ""What's the Big Secret"", ""Sex, Puberty, and All That Stuff"" and many more, and I keep them on a shelf that allows a reasonable amount of privacy. Plus, the book spines and shelf have matching blue dots to make them easy for the students to find and for my library assistant and me to re-shelve Every. Single. Day. :) The sex books constantly get stashed and hidden in various other nooks--hey--maybe I should GPS tag them! Anyway, here's the funny part: every school year, during the first few months, the sixth graders gradually discover these books. For the last few years, I've had an amazing number of sixth graders, mostly boys, running over to me, very upset, complaining about the sex book section! ""Did you know there are books about s-e-x over there, Mrs. B?"" ""Why are they there?"" ""I think you should get rid of those!"" Okay, now for the mistakes. I have a high school and college background and have a tendency to over-estimate my students' reading and interest levels. Any time I really blow it, I just send those books up to the local high school where the students will get 4 more years to consider them.",Pacific,Rural,0,1,0
What I feel is appropriate for the age,Midwest,Suburban,1,1,0
"Writing level, content, interest, reviews, requests",Northeast,Suburban,1,0,0
